benchmark,horizon,epsilon,time,val
RockSample_POMDP_N3_G4_K7_R11_.txt,1,0,627.621840,0.0
RockSample_POMDP_N3_G4_K7_R11_.txt,2,0,1338.981382,0.0
RockSample_POMDP_N3_G4_K7_R11_.txt,3,0,2128.915260,10.0
RockSample_POMDP_N3_G4_K7_R11_.txt,4,0,6076.213854,10.0
RockSample_POMDP_N3_G4_K7_R11_.txt,5,0,3952.689758,10.0
RockSample_POMDP_N3_G4_K7_R11_.txt,6,0,5001.712677,10.0
RockSample_POMDP_N3_G4_K7_R11_.txt,7,0,6079.360521,10.0
