benchmark,horizon,epsilon,time,val
iff_1_2_2_0,1,0,3601.856570,0.0
iff_1_2_2_0,2,0,140.593104,-1
iff_1_2_2_0,3,0,3635.367050,-1
iff_1_2_2_0,4,0,3644.597399,-1
iff_1_2_2_0,5,0,3669.982510,-1
iff_1_2_2_0,6,0,3601.835760,-1
