benchmark,horizon,epsilon,time,val
cit.POMDP_2,1,0,150.873183,0.0
cit.POMDP_2,2,0,305.344850,0.0
cit.POMDP_2,3,0,4143.549672,0.00328
cit.POMDP_2,4,0,4284.070504,0.321755
cit.POMDP_2,5,0,4494.998329,0.0
cit.POMDP_2,6,0,5447.043392,0.0
