hardware,embedding_index,horizon,method,time,result,threshold
boeblingen,0,3,bellman,0.008680,1,0.981240
boeblingen,1,3,bellman,0.008020,1,0.964100
boeblingen,2,3,bellman,0.006820,1,0.974170
boeblingen,3,3,bellman,0.007190,1,0.959210
boeblingen,4,3,bellman,0.007500,1,0.942140
boeblingen,5,3,bellman,0.007710,1,0.943710
boeblingen,6,3,bellman,0.006930,1,0.970100
boeblingen,7,3,bellman,0.007450,1,0.973740
boeblingen,8,3,bellman,0.007700,1,0.972060
boeblingen,9,3,bellman,0.008250,1,0.975660
boeblingen,10,3,bellman,0.008740,1,0.969790
boeblingen,11,3,bellman,0.007950,1,0.945450
boeblingen,12,3,bellman,0.008330,1,0.958370
boeblingen,13,3,bellman,0.009440,1,0.962320
boeblingen,14,3,bellman,0.008320,1,0.962300
boeblingen,15,3,bellman,0.008980,1,0.962750
boeblingen,16,3,bellman,0.008790,1,0.970010
boeblingen,17,3,bellman,0.009150,1,0.976250
boeblingen,18,3,bellman,0.009860,1,0.975120
boeblingen,19,3,bellman,0.010110,1,0.972510
boeblingen,20,3,bellman,0.010050,1,0.962060
boeblingen,21,3,bellman,0.010560,1,0.961870
boeblingen,22,3,bellman,0.009700,1,0.963410
boeblingen,23,3,bellman,0.010850,1,0.952020
boeblingen,24,3,bellman,0.010220,1,0.970710
boeblingen,25,3,bellman,0.010890,1,0.963130
boeblingen,26,3,bellman,0.011190,1,0.966140
boeblingen,27,3,bellman,0.011340,1,0.952890
boeblingen,28,3,bellman,0.010530,1,0.965440
boeblingen,29,3,bellman,0.011590,1,0.964580
boeblingen,30,3,bellman,0.011640,1,0.962050
boeblingen,31,3,bellman,0.011950,1,0.960510
boeblingen,32,3,bellman,0.012210,1,0.958610
boeblingen,33,3,bellman,0.011580,1,0.967450
boeblingen,34,3,bellman,0.011950,1,0.957070
boeblingen,35,3,bellman,0.012250,1,0.957650
bogota,0,3,bellman,0.006240,1,0.969700
bogota,1,3,bellman,0.006740,1,0.914130
bogota,2,3,bellman,0.006880,1,0.912290
cambridge,0,3,bellman,0.006070,1,0.943460
cambridge,1,3,bellman,0.006610,1,0.940140
cambridge,2,3,bellman,0.008250,1,0.946570
cambridge,3,3,bellman,0.006470,1,0.956350
cambridge,4,3,bellman,0.006980,1,0.953770
cambridge,5,3,bellman,0.007390,1,0.949680
cambridge,6,3,bellman,0.009490,1,0.938360
cambridge,7,3,bellman,0.008790,1,0.945010
cambridge,8,3,bellman,0.009160,1,0.941830
cambridge,9,3,bellman,0.010040,1,0.947540
cambridge,10,3,bellman,0.010190,1,0.932140
cambridge,11,3,bellman,0.008810,1,0.947260
cambridge,12,3,bellman,0.009770,1,0.952770
cambridge,13,3,bellman,0.011900,1,0.931540
cambridge,14,3,bellman,0.009180,1,0.941530
cambridge,15,3,bellman,0.009580,1,0.196210
cambridge,16,3,bellman,0.009720,1,0.195600
cambridge,17,3,bellman,0.010470,1,0.195890
cambridge,18,3,bellman,0.010170,1,0.947880
cambridge,19,3,bellman,0.010760,1,0.928420
cambridge,20,3,bellman,0.013140,1,0.931360
cambridge,21,3,bellman,0.010560,1,0.954470
cambridge,22,3,bellman,0.010800,1,0.196280
cambridge,23,3,bellman,0.011030,1,0.118990
cambridge,24,3,bellman,0.013090,1,0.196270
cambridge,25,3,bellman,0.012630,1,0.872440
cambridge,26,3,bellman,0.013760,1,0.892700
cambridge,27,3,bellman,0.013790,1,0.935760
cambridge,28,3,bellman,0.014880,1,0.196220
cambridge,29,3,bellman,0.012830,1,0.191320
cambridge,30,3,bellman,0.013160,1,0.190540
cambridge,31,3,bellman,0.013670,1,0.836010
cambridge,32,3,bellman,0.014000,1,0.896860
cambridge,33,3,bellman,0.014480,1,0.955110
cambridge,34,3,bellman,0.014860,1,0.945570
cambridge,35,3,bellman,0.014970,1,0.195380
hanoi,0,3,bellman,0.006310,1,0.987150
hanoi,1,3,bellman,0.006570,1,0.987310
hanoi,2,3,bellman,0.006850,1,0.983830
hanoi,3,3,bellman,0.006780,1,0.989860
hanoi,4,3,bellman,0.007980,1,0.981960
hanoi,5,3,bellman,0.007230,1,0.982820
hanoi,6,3,bellman,0.008460,1,0.983950
hanoi,7,3,bellman,0.008240,1,0.980380
hanoi,8,3,bellman,0.008780,1,0.981690
hanoi,9,3,bellman,0.008870,1,0.983710
hanoi,10,3,bellman,0.009230,1,0.983360
hanoi,11,3,bellman,0.008900,1,0.988350
hanoi,12,3,bellman,0.009720,1,0.990150
hanoi,13,3,bellman,0.009630,1,0.987070
hanoi,14,3,bellman,0.010630,1,0.979490
hanoi,15,3,bellman,0.010550,1,0.990000
hanoi,16,3,bellman,0.010870,1,0.983340
hanoi,17,3,bellman,0.010860,1,0.977790
hanoi,18,3,bellman,0.011510,1,0.966960
hanoi,19,3,bellman,0.010850,1,0.986610
hanoi,20,3,bellman,0.010950,1,0.982630
hanoi,21,3,bellman,0.011980,1,0.963480
hanoi,22,3,bellman,0.011460,1,0.973530
hanoi,23,3,bellman,0.012140,1,0.974410
hanoi,24,3,bellman,0.012470,1,0.966990
hanoi,25,3,bellman,0.012780,1,0.971030
hanoi,26,3,bellman,0.013130,1,0.987020
hanoi,27,3,bellman,0.013430,1,0.979930
hanoi,28,3,bellman,0.012830,1,0.985590
hanoi,29,3,bellman,0.014000,1,0.985970
hanoi,30,3,bellman,0.013450,1,0.980860
hanoi,31,3,bellman,0.014150,1,0.979960
hanoi,32,3,bellman,0.014350,1,0.984140
hanoi,33,3,bellman,0.014880,1,0.976200
hanoi,34,3,bellman,0.015040,1,0.986620
hanoi,35,3,bellman,0.014920,1,0.976510
hanoi,36,3,bellman,0.015130,1,0.977590
jakarta,0,3,bellman,0.006410,1,0.977280
jakarta,1,3,bellman,0.006620,1,0.979430
jakarta,2,3,bellman,0.006530,1,0.977070
jakarta,3,3,bellman,0.007080,1,0.982120
