hardware,embedding_index,horizon,pomdp_build_time,probability,solver_time,algorithm_index
algiers,0,1,0.079986,0.500000,0.000000,0
algiers,0,2,0.079986,0.500000,0.000000,1
algiers,0,3,0.079986,0.500000,0.000000,2
algiers,0,4,0.079986,0.989968,0.000000,3
algiers,0,5,0.079986,0.989968,4.000000,3
algiers,0,6,0.079986,0.994648,90.000000,4
algiers,1,1,0.081165,0.500000,0.000000,5
algiers,1,2,0.081165,0.500000,0.000000,6
algiers,1,3,0.081165,0.500000,0.000000,7
algiers,1,4,0.081165,0.978943,1.000000,8
algiers,1,5,0.081165,0.978943,86.000000,9
