hardware,embedding_index,horizon,is_prob,prob_branch,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
lima,0,1,1,0.3258425451331563,223,483,0.66294,0.6556,0.00734
lima,0,2,1,0.3106087270936918,224,483,0.6666,0.6556,0.011
lima,0,3,1,0.5081216092877597,254,484,0.74554,0.74161,0.00393
lima,0,4,1,0.5089492074501372,226,485,0.74567,0.73354,0.01213
lima,0,5,1,0.5006311126738192,4,486,0.74974,0.7417,0.00804
lima,0,6,1,0.4995945614768435,82,487,0.74974,0.7413,0.00844
lima,1,1,1,0.30675909878682844,255,483,0.65338,0.62833,0.02505
lima,1,2,1,0.7495619747210225,256,483,0.66584,0.62833,0.03751
lima,1,3,1,0.5260427060940531,257,484,0.73246,0.72095,0.01151
lima,1,4,1,0.5378481586831766,258,485,0.73401,0.69415,0.03986
lima,1,5,1,0.4957974102576965,92,486,0.747,0.72125,0.02575
lima,1,6,1,0.5061553513462278,259,487,0.74704,0.71684,0.0302
makarresh,0,1,1,0.667913438418381,50,483,0.66607,0.66488,0.00119
makarresh,0,2,1,0.32973913953936945,260,483,0.66667,0.66488,0.00179
makarresh,0,3,1,0.5015207247195203,52,484,0.74928,0.74837,0.00091
makarresh,0,4,1,0.501296319111876,53,485,0.74928,0.74732,0.00196
makarresh,0,5,1,0.4998630952020578,16,486,0.74995,0.74866,0.00129
makarresh,0,6,1,0.4999512465805695,17,487,0.74995,0.74865,0.0013
makarresh,1,1,1,0.9745420383326365,261,483,0.51273,0.35075,0.16198
makarresh,1,2,1,0.05238900610031652,262,483,0.51306,0.35075,0.16231
makarresh,1,3,1,0.07651324778385096,263,484,0.51908,0.51274,0.00634
makarresh,1,4,1,0.1049692052405998,264,485,0.51957,0.3884,0.13117
makarresh,1,5,1,0.1277548595454614,265,486,0.52382,0.51306,0.01076
makarresh,1,6,1,0.9647843545015459,266,487,0.52445,0.41982,0.10463
manhattan,0,1,1,0.9121590805436466,267,483,0.54392,0.39753,0.14639
manhattan,0,2,1,0.6000098410514416,268,483,0.54815,0.39753,0.15062
manhattan,0,3,1,0.8198062074840325,269,484,0.56507,0.54807,0.017
manhattan,0,4,1,0.29484330697457295,270,485,0.57133,0.42779,0.14354
manhattan,0,5,1,0.7227327997532497,271,486,0.58034,0.54815,0.03219
manhattan,0,6,1,0.6313560649654637,272,487,0.58807,0.46123,0.12684
manhattan,1,1,1,0.33052152373301186,273,483,0.66526,0.66247,0.00279
manhattan,1,2,1,0.6751376730615842,274,483,0.66666,0.66247,0.00419
manhattan,1,3,1,0.4967247713961704,275,484,0.7483,0.74669,0.00161
manhattan,1,4,1,0.503107520075798,276,485,0.74832,0.74372,0.0046
manhattan,1,5,1,0.4998630952020578,16,486,0.74989,0.74685,0.00304
manhattan,1,6,1,0.4999740744530913,71,487,0.74989,0.74679,0.0031
valencia,0,1,1,0.6772314777190844,277,483,0.66138,0.65107,0.01031
valencia,0,2,1,0.698863240235245,278,483,0.66654,0.65107,0.01547
valencia,0,3,1,0.5113294068320995,279,484,0.74355,0.73815,0.0054
valencia,0,4,1,0.513149724506924,280,485,0.74382,0.72687,0.01695
valencia,0,5,1,0.4990417095865681,76,486,0.74949,0.7383,0.01119
valencia,0,6,1,0.500862719372721,77,487,0.74949,0.73752,0.01197
valencia,1,1,1,0.3083414026836353,281,483,0.65417,0.63053,0.02364
valencia,1,2,1,0.7444490454704117,282,483,0.66594,0.63053,0.03541
valencia,1,3,1,0.4752613387052967,41,484,0.73362,0.72263,0.01099
valencia,1,4,1,0.5351990913545055,283,485,0.73501,0.69727,0.03774
valencia,1,5,1,0.49615947092551027,33,486,0.74735,0.7229,0.02445
valencia,1,6,1,0.505409510350259,284,487,0.74738,0.71896,0.02842
boeblingen,0,1,1,0.32750504371217215,227,483,0.66371,0.65787,0.00584
boeblingen,0,2,1,0.6845805514718043,285,483,0.66663,0.65787,0.00876
boeblingen,0,3,1,0.5065541458061752,286,484,0.74647,0.74328,0.00319
boeblingen,0,4,1,0.5069946862942013,287,485,0.74655,0.73689,0.00966
boeblingen,0,5,1,0.5003360285173777,70,486,0.7498,0.7434,0.0064
boeblingen,0,6,1,0.5002541251683524,5,487,0.7498,0.74315,0.00665
boeblingen,1,1,1,0.7649353629618298,288,483,0.61753,0.5382,0.07933
boeblingen,1,2,1,0.9938395881741023,289,483,0.65365,0.5382,0.11545
boeblingen,1,3,1,0.43228773395797754,290,484,0.67417,0.6534,0.02077
boeblingen,1,4,1,0.294305805961766,291,485,0.68731,0.57587,0.11144
boeblingen,1,5,1,0.5266410973234322,292,486,0.71184,0.65365,0.05819
boeblingen,1,6,1,0.5952623521072374,293,487,0.7146,0.61735,0.09725
bogota,0,1,1,0.6789327177676694,294,483,0.66053,0.6486,0.01193
bogota,0,2,1,0.2958583614024141,295,483,0.66649,0.6486,0.01789
bogota,0,3,1,0.5129446047246671,296,484,0.74247,0.73635,0.00612
bogota,0,4,1,0.4844101885504404,297,485,0.74283,0.72327,0.01956
bogota,0,5,1,0.4989109515198858,298,486,0.74936,0.73645,0.01291
