hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
cambridge,0,convex,1,0,483,0.662850,0.655330,0.007520
cambridge,0,convex,2,1,483,0.666600,0.655330,0.011270
cambridge,0,convex,3,2,484,0.745360,0.741280,0.004080
cambridge,0,convex,4,3,485,0.745500,0.733140,0.012360
cambridge,0,convex,5,4,486,0.749660,0.741500,0.008160
cambridge,0,convex,6,5,487,0.749660,0.741080,0.008580
cambridge,1,convex,1,6,483,0.549550,0.406670,0.142880
cambridge,1,convex,2,7,483,0.555000,0.406670,0.148330
cambridge,1,convex,3,8,484,0.573130,0.554850,0.018280
cambridge,1,convex,4,9,485,0.581170,0.436050,0.145120
cambridge,1,convex,5,10,486,0.589950,0.555000,0.034950
cambridge,1,convex,6,11,487,0.599850,0.470110,0.129740
hanoi,0,convex,1,12,483,0.665440,0.663000,0.002440
hanoi,0,convex,2,13,483,0.666660,0.663000,0.003660
hanoi,0,convex,3,14,484,0.748550,0.747160,0.001390
hanoi,0,convex,4,15,485,0.748560,0.744520,0.004040
hanoi,0,convex,5,16,486,0.749930,0.747250,0.002680
hanoi,0,convex,6,17,487,0.749930,0.747210,0.002720
hanoi,1,convex,1,18,483,0.646820,0.610470,0.036350
hanoi,1,convex,2,19,483,0.664790,0.610470,0.054320
hanoi,1,convex,3,20,484,0.722700,0.707770,0.014930
hanoi,1,convex,4,21,485,0.725850,0.669250,0.056600
hanoi,1,convex,5,22,486,0.743550,0.707850,0.035700
hanoi,1,convex,6,23,487,0.743720,0.698910,0.044810
jakarta,0,convex,1,24,483,0.663070,0.656000,0.007070
jakarta,0,convex,2,25,483,0.666610,0.656000,0.010610
jakarta,0,convex,3,26,484,0.745680,0.741860,0.003820
jakarta,0,convex,4,27,485,0.745810,0.734130,0.011680
jakarta,0,convex,5,28,486,0.749730,0.742000,0.007730
jakarta,0,convex,6,5,487,0.749730,0.741630,0.008100
jakarta,1,convex,1,29,483,0.653860,0.629670,0.024190
jakarta,1,convex,2,30,483,0.665900,0.629670,0.036230
jakarta,1,convex,3,31,484,0.733250,0.722130,0.011120
jakarta,1,convex,4,32,485,0.734690,0.696040,0.038650
jakarta,1,convex,5,33,486,0.747300,0.722250,0.025050
jakarta,1,convex,6,34,487,0.747340,0.718130,0.029210
ourense,0,convex,1,35,483,0.663250,0.656530,0.006720
ourense,0,convex,2,36,483,0.666610,0.656530,0.010080
ourense,0,convex,3,37,484,0.745900,0.742250,0.003650
ourense,0,convex,4,38,485,0.746020,0.734920,0.011100
ourense,0,convex,5,28,486,0.749740,0.742400,0.007340
ourense,0,convex,6,5,487,0.749740,0.742060,0.007680
ourense,1,convex,1,39,483,0.654070,0.630270,0.023800
ourense,1,convex,2,40,483,0.665930,0.630270,0.035660
ourense,1,convex,3,41,484,0.733530,0.722520,0.011010
ourense,1,convex,4,42,485,0.734930,0.696890,0.038040
ourense,1,convex,5,33,486,0.747360,0.722700,0.024660
ourense,1,convex,6,43,487,0.747400,0.718700,0.028700
washington,0,convex,1,44,483,0.575260,0.451470,0.123790
washington,0,convex,2,45,483,0.588600,0.451470,0.137130
washington,0,convex,3,46,484,0.608170,0.588520,0.019650
washington,0,convex,4,47,485,0.627340,0.479300,0.148040
washington,0,convex,5,48,486,0.638820,0.588600,0.050220
washington,0,convex,6,49,487,0.648880,0.516920,0.131960
washington,1,convex,1,50,483,0.666040,0.664800,0.001240
washington,1,convex,2,51,483,0.666660,0.664800,0.001860
washington,1,convex,3,52,484,0.749230,0.748470,0.000760
washington,1,convex,4,53,485,0.749230,0.747200,0.002030
washington,1,convex,5,16,486,0.749930,0.748600,0.001330
washington,1,convex,6,17,487,0.749930,0.748590,0.001340
yorktown,0,convex,1,54,483,0.660400,0.648200,0.012200
yorktown,0,convex,2,55,483,0.666490,0.648200,0.018290
yorktown,0,convex,3,56,484,0.742240,0.735960,0.006280
yorktown,0,convex,4,57,485,0.742620,0.722680,0.019940
yorktown,0,convex,5,58,486,0.749280,0.736150,0.013130
yorktown,0,convex,6,59,487,0.749290,0.735060,0.014230
yorktown,1,convex,1,60,483,0.585990,0.471800,0.114190
yorktown,1,convex,2,61,483,0.603850,0.471800,0.132050
yorktown,1,convex,3,62,484,0.621570,0.603180,0.018390
yorktown,1,convex,4,63,485,0.644370,0.500420,0.143950
yorktown,1,convex,5,64,486,0.658480,0.603850,0.054630
yorktown,1,convex,6,65,487,0.666950,0.539660,0.127290
athens,0,convex,1,66,483,0.664410,0.659930,0.004480
athens,0,convex,2,67,483,0.666640,0.659930,0.006710
athens,0,convex,3,68,484,0.747280,0.744760,0.002520
athens,0,convex,4,69,485,0.747330,0.739950,0.007380
athens,0,convex,5,70,486,0.749830,0.744950,0.004880
athens,0,convex,6,71,487,0.749830,0.744800,0.005030
athens,1,convex,1,72,483,0.661180,0.650470,0.010710
athens,1,convex,2,73,483,0.666530,0.650470,0.016060
athens,1,convex,3,74,484,0.743280,0.737700,0.005580
athens,1,convex,4,75,485,0.743570,0.726000,0.017570
athens,1,convex,5,76,486,0.749450,0.737850,0.011600
athens,1,convex,6,77,487,0.749450,0.737010,0.012440
auckland,0,convex,1,12,483,0.665440,0.663000,0.002440
auckland,0,convex,2,13,483,0.666660,0.663000,0.003660
auckland,0,convex,3,14,484,0.748530,0.747120,0.001410
auckland,0,convex,4,15,485,0.748550,0.744520,0.004030
auckland,0,convex,5,16,486,0.749910,0.747250,0.002660
auckland,0,convex,6,71,487,0.749910,0.747210,0.002700
auckland,1,convex,1,78,483,0.662340,0.653870,0.008470
auckland,1,convex,2,79,483,0.666580,0.653870,0.012710
auckland,1,convex,3,80,484,0.744740,0.740190,0.004550
auckland,1,convex,4,81,485,0.744920,0.730980,0.013940
auckland,1,convex,5,4,486,0.749600,0.740400,0.009200
auckland,1,convex,6,82,487,0.749600,0.739870,0.009730
essex,0,convex,1,83,483,0.659700,0.646200,0.013500
essex,0,convex,2,84,483,0.666440,0.646200,0.020240
essex,0,convex,3,85,484,0.741230,0.734280,0.006950
essex,0,convex,4,86,485,0.741700,0.719770,0.021930
essex,0,convex,5,87,486,0.749040,0.734650,0.014390
essex,0,convex,6,88,487,0.749040,0.733320,0.015720
essex,1,convex,1,89,483,0.653790,0.629470,0.024320
essex,1,convex,2,90,483,0.665890,0.629470,0.036420
essex,1,convex,3,91,484,0.732990,0.721690,0.011300
essex,1,convex,4,32,485,0.734460,0.695760,0.038700
essex,1,convex,5,92,486,0.747110,0.722100,0.025010
essex,1,convex,6,43,487,0.747150,0.717940,0.029210
kyiv,0,convex,1,93,483,0.666290,0.665530,0.000760
kyiv,0,convex,2,94,483,0.666670,0.665530,0.001140
kyiv,0,convex,3,95,484,0.749510,0.749030,0.000480
kyiv,0,convex,4,96,485,0.749510,0.748290,0.001220
kyiv,0,convex,5,16,486,0.749940,0.749150,0.000790
kyiv,0,convex,6,17,487,0.749940,0.749140,0.000800
kyiv,1,convex,1,97,483,0.501580,0.335450,0.166130
kyiv,1,convex,2,98,483,0.501590,0.335450,0.166140
kyiv,1,convex,3,99,484,0.502370,0.501590,0.000780
kyiv,1,convex,4,100,485,0.502380,0.376590,0.125790
kyiv,1,convex,5,101,486,0.502970,0.501590,0.001380
kyiv,1,convex,6,102,487,0.502980,0.407840,0.095140
prague,0,convex,1,103,483,0.642120,0.598070,0.044050
prague,0,convex,2,104,483,0.663760,0.598070,0.065690
prague,0,convex,3,105,484,0.715150,0.698240,0.016910
prague,0,convex,4,106,485,0.719710,0.652390,0.067320
prague,0,convex,5,107,486,0.739980,0.698550,0.041430
prague,0,convex,6,108,487,0.740340,0.685770,0.054570
prague,1,convex,1,109,483,0.665040,0.661800,0.003240
prague,1,convex,2,110,483,0.666650,0.661800,0.004850
prague,1,convex,3,111,484,0.748100,0.746310,0.001790
prague,1,convex,4,112,485,0.748130,0.742730,0.005400
prague,1,convex,5,16,486,0.749940,0.746350,0.003590
prague,1,convex,6,71,487,0.749940,0.746270,0.003670
perfect_hardware,0,convex,1,113,483,0.666670,0.666670,0.000000
perfect_hardware,0,convex,2,114,483,0.666670,0.666670,0.000000
perfect_hardware,0,convex,3,115,484,0.750000,0.750000,0.000000
perfect_hardware,0,convex,4,116,485,0.750000,0.750000,0.000000
perfect_hardware,0,convex,5,117,486,0.750000,0.750000,0.000000
perfect_hardware,0,convex,6,118,487,0.750000,0.750000,0.000000
melbourne,0,convex,1,119,483,0.660670,0.649000,0.011670
melbourne,0,convex,2,120,483,0.666500,0.649000,0.017500
melbourne,0,convex,3,121,484,0.742600,0.736550,0.006050
melbourne,0,convex,4,122,485,0.742950,0.723850,0.019100
melbourne,0,convex,5,58,486,0.749330,0.736750,0.012580
melbourne,0,convex,6,123,487,0.749340,0.735750,0.013590
melbourne,1,convex,1,124,483,0.619310,0.542270,0.077040
melbourne,1,convex,2,125,483,0.655170,0.542270,0.112900
melbourne,1,convex,3,126,484,0.677020,0.656180,0.020840
melbourne,1,convex,4,127,485,0.689600,0.580810,0.108790
melbourne,1,convex,5,128,486,0.714180,0.656700,0.057480
melbourne,1,convex,6,129,487,0.716730,0.622140,0.094590
manila,0,convex,1,130,483,0.643770,0.602400,0.041370
manila,0,convex,2,131,483,0.664150,0.602400,0.061750
manila,0,convex,3,132,484,0.717790,0.701500,0.016290
manila,0,convex,4,133,485,0.721850,0.658250,0.063600
manila,0,convex,5,134,486,0.741280,0.701800,0.039480
manila,0,convex,6,135,487,0.741560,0.690420,0.051140
manila,1,convex,1,136,483,0.663440,0.657070,0.006370
manila,1,convex,2,137,483,0.666620,0.657070,0.009550
manila,1,convex,3,138,484,0.746140,0.742700,0.003440
manila,1,convex,4,139,485,0.746250,0.735700,0.010550
manila,1,convex,5,70,486,0.749790,0.742800,0.006990
manila,1,convex,6,5,487,0.749790,0.742500,0.007290
montreal,0,convex,1,109,483,0.665080,0.661930,0.003150
