hardware,embedding_index,horizon,method,time,result,threshold
kyiv,1,6,convex,0.046960,1,0.501980
prague,0,1,convex,0.002420,1,0.641120
prague,0,2,convex,0.004840,1,0.662760
prague,0,3,convex,0.007330,1,0.714150
prague,0,4,convex,0.014770,1,0.718710
prague,0,5,convex,0.026170,1,0.738980
prague,0,6,convex,0.044860,1,0.739340
prague,1,1,convex,0.002510,1,0.664040
prague,1,2,convex,0.005500,1,0.665650
prague,1,3,convex,0.008220,1,0.747100
prague,1,4,convex,0.017510,1,0.747130
prague,1,5,convex,0.030570,1,0.748940
prague,1,6,convex,0.054350,1,0.748940
perfect_hardware,0,1,convex,0.001600,1,0.665670
perfect_hardware,0,2,convex,0.001950,1,0.665670
perfect_hardware,0,3,convex,0.002720,1,0.749000
perfect_hardware,0,4,convex,0.003250,1,0.749000
perfect_hardware,0,5,convex,0.003880,1,0.749000
perfect_hardware,0,6,convex,0.004630,1,0.749000
melbourne,0,1,convex,0.002020,1,0.659670
melbourne,0,2,convex,0.003760,1,0.665500
melbourne,0,3,convex,0.006170,1,0.741600
melbourne,0,4,convex,0.011410,1,0.741950
melbourne,0,5,convex,0.019970,1,0.748330
melbourne,0,6,convex,0.033010,1,0.748340
melbourne,1,1,convex,0.002110,1,0.618310
melbourne,1,2,convex,0.004060,1,0.654170
melbourne,1,3,convex,0.006510,1,0.676020
melbourne,1,4,convex,0.012540,1,0.688600
melbourne,1,5,convex,0.021980,1,0.713180
melbourne,1,6,convex,0.036950,1,0.715730
manila,0,1,convex,0.001990,1,0.642770
manila,0,2,convex,0.003850,1,0.663150
manila,0,3,convex,0.006190,1,0.716790
manila,0,4,convex,0.011640,1,0.720850
manila,0,5,convex,0.020500,1,0.740280
manila,0,6,convex,0.033960,1,0.740560
manila,1,1,convex,0.002010,1,0.662440
manila,1,2,convex,0.003910,1,0.665620
manila,1,3,convex,0.006250,1,0.745140
manila,1,4,convex,0.011860,1,0.745250
manila,1,5,convex,0.020830,1,0.748790
manila,1,6,convex,0.034750,1,0.748790
montreal,0,1,convex,0.002210,1,0.664080
montreal,0,2,convex,0.004500,1,0.665660
montreal,0,3,convex,0.007010,1,0.747130
montreal,0,4,convex,0.013890,1,0.747160
montreal,0,5,convex,0.024280,1,0.748920
montreal,0,6,convex,0.041770,1,0.748920
montreal,1,1,convex,0.002440,1,0.642700
montreal,1,2,convex,0.005050,1,0.663130
montreal,1,3,convex,0.007670,1,0.716800
montreal,1,4,convex,0.015890,1,0.720850
