algorithm_index,min_success0,avg_success0,max_success0,min_success1,avg_success1,max_success1,min_meas_succ,avg_meas_succ,max_meas_succ,min_diff_meas,avg_diff_meas,max_diff_meas,min_abs_diff_meas,avg_abs_diff_meas,max_abs_diff_meas,min_succ_1Q,avg_succ_1Q,max_succ_1Q,min_succ_2Q,avg_succ_2Q,max_succ_2Q,num_hardwares
191,0.985,0.987225,0.9894,0.985,0.987225,0.9894,0.985,0.987225,0.9894,0.0,0.0,0.0,0.0,0.0,0.0,0.999327,0.9997432857142857,1.0,100,0.0,0.0,4
192,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.0,0.0,0.0,0.0,0.0,0.0,0.992362,0.996181,1.0,100,0.0,0.0,1
193,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.0,0.0,0.0,0.0,0.0,0.0,0.992362,0.996181,1.0,100,0.0,0.0,1
194,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.0,0.0,0.0,0.0,0.0,0.0,0.992362,0.996181,1.0,100,0.0,0.0,1
195,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.0,0.0,0.0,0.0,0.0,0.0,0.992362,0.996181,1.0,100,0.0,0.0,1
196,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.0,0.0,0.0,0.0,0.0,0.0,0.992362,0.996181,1.0,100,0.0,0.0,1
197,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.9132,0.0,0.0,0.0,0.0,0.0,0.0,0.992362,0.996181,1.0,100,0.0,0.0,1
198,0.998535,0.998535,0.998535,0.998535,0.998535,0.998535,0.998535,0.998535,0.998535,0.0,0.0,0.0,0.0,0.0,0.0,0.999681,0.9998405,1.0,100,0.0,0.0,1
199,0.998535,0.998535,0.998535,0.998535,0.998535,0.998535,0.998535,0.998535,0.998535,0.0,0.0,0.0,0.0,0.0,0.0,0.999681,0.9998405,1.0,100,0.0,0.0,1
200,0.998535,0.998535,0.998535,0.998535,0.998535,0.998535,0.998535,0.998535,0.998535,0.0,0.0,0.0,0.0,0.0,0.0,0.999681,0.9998405,1.0,100,0.0,0.0,1
201,0.998535,0.998535,0.998535,0.998535,0.998535,0.998535,0.998535,0.998535,0.998535,0.0,0.0,0.0,0.0,0.0,0.0,0.999681,0.9998405,1.0,100,0.0,0.0,1
202,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.0,0.0,0.0,0.0,0.0,0.0,0.999553,0.9997765000000001,1.0,100,0.0,0.0,1
203,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.0,0.0,0.0,0.0,0.0,0.0,0.999553,0.9997765000000001,1.0,100,0.0,0.0,1
204,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.0,0.0,0.0,0.0,0.0,0.0,0.999553,0.9997765000000001,1.0,100,0.0,0.0,1
205,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.0,0.0,0.0,0.0,0.0,0.0,0.999553,0.9997765000000001,1.0,100,0.0,0.0,1
206,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.0,0.0,0.0,0.0,0.0,0.0,0.999553,0.9997765000000001,1.0,100,0.0,0.0,1
207,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.894043,0.0,0.0,0.0,0.0,0.0,0.0,0.999553,0.9997765000000001,1.0,100,0.0,0.0,1
208,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.0,0.0,0.0,0.0,0.0,0.0,0.999396,0.999698,1.0,100,0.0,0.0,1
209,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.0,0.0,0.0,0.0,0.0,0.0,0.999396,0.999698,1.0,100,0.0,0.0,1
210,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.0,0.0,0.0,0.0,0.0,0.0,0.999396,0.999698,1.0,100,0.0,0.0,1
211,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.0,0.0,0.0,0.0,0.0,0.0,0.999396,0.999698,1.0,100,0.0,0.0,1
212,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.0,0.0,0.0,0.0,0.0,0.0,0.999396,0.999698,1.0,100,0.0,0.0,1
213,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.9395,0.0,0.0,0.0,0.0,0.0,0.0,0.999396,0.999698,1.0,100,0.0,0.0,1
214,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894,0.0,0.0,0.0,0.0,0.0,0.0,0.999625,0.9998125,1.0,100,0.0,0.0,1
