hardware_spec,op,avg_success,num_errors
fake_auckland,Op.RESET,0.4754571718549647,27
fake_auckland,Op.SX,0.48117297369021167,27
fake_auckland,Op.CNOT,0.24612530415665482,56
fake_auckland,Op.MEAS,1.981888888888889,27
fake_belem,Op.X,0.399710631985392,5
fake_belem,Op.RESET,0.352784328,5
fake_belem,Op.SX,0.399710631985392,5
fake_belem,Op.CNOT,0.24593405055543383,8
fake_belem,Op.MEAS,1.9392,5
fake_boeblingen,Op.U3,0.3491614544201691,20
fake_boeblingen,Op.CNOT,0.12639741183565245,46
fake_boeblingen,Op.U2,0.3495804579608007,20
fake_boeblingen,Op.MEAS,1.8948399999999999,20
fake_bogota,Op.X,0.5995111759845495,5
fake_bogota,Op.RESET,0.5699656638828798,5
fake_bogota,Op.SX,0.5995111759845495,5
fake_bogota,Op.CNOT,0.24641737271085978,8
fake_bogota,Op.MEAS,1.925,5
fake_brooklyn,Op.X,0.18440978090559423,65
fake_brooklyn,Op.RESET,0.16577853812630117,65
fake_brooklyn,Op.SX,0.18440978090559423,65
fake_brooklyn,Op.CNOT,0.05451726856990366,144
fake_brooklyn,Op.MEAS,1.9438215384615385,65
fake_burlington,Op.U3,0.3992076179715164,5
fake_burlington,Op.CNOT,0.0,8
fake_burlington,Op.U2,0.3996036339960364,5
fake_burlington,Op.MEAS,1.9300000000000002,5
fake_cambridge,Op.U3,0.9608005984567088,28
fake_cambridge,Op.CNOT,0.7324116169863459,60
fake_cambridge,Op.U2,0.9625417509373141,28
fake_cambridge,Op.MEAS,1.7463571428571427,28
fake_casablanca,Op.X,0.713676295664835,7
fake_casablanca,Op.RESET,0.6621213771428572,7
fake_casablanca,Op.SX,0.713676295664835,7
fake_casablanca,Op.CNOT,0.3273058140880352,12
fake_casablanca,Op.MEAS,1.9620285714285715,7
fake_essex,Op.U3,0.0,5
fake_essex,Op.CNOT,0.0,8
fake_essex,Op.U2,0.0,5
fake_essex,Op.MEAS,1.92252,5
fake_geneva,Op.X,0.7772796225133142,27
fake_geneva,Op.RESET,0.7722746644620077,27
fake_geneva,Op.SX,0.7772796225133142,27
fake_geneva,Op.CNOT,0.6488266916729877,56
fake_geneva,Op.MEAS,1.9206493829629632,27
fake_guadalupe,Op.X,0.12488389124833725,16
fake_guadalupe,Op.RESET,0.10615085187500001,16
fake_guadalupe,Op.SX,0.12488389124833725,16
fake_guadalupe,Op.CNOT,0.0,32
fake_guadalupe,Op.MEAS,1.9603625,16
fake_lima,Op.X,0.399509748,5
fake_lima,Op.RESET,0.3313453618873797,5
fake_lima,Op.SX,0.399509748,5
fake_lima,Op.CNOT,0.0,8
fake_lima,Op.MEAS,1.9313200000000001,5
fake_london,Op.U3,0.399133388,5
fake_london,Op.CNOT,0.0,8
fake_london,Op.U2,0.3995663839981586,5
fake_london,Op.MEAS,1.886,5
fake_manhattan,Op.X,0.16904133123018175,65
fake_manhattan,Op.RESET,0.14463933109124713,65
fake_manhattan,Op.SX,0.16904133123018175,65
fake_manhattan,Op.CNOT,0.01324743624358547,144
fake_manhattan,Op.MEAS,1.913166153846154,65
fake_manila,Op.X,0.9993676899131362,5
fake_manila,Op.RESET,0.9272636740332023,5
fake_manila,Op.SX,0.9993676899131362,5
fake_manila,Op.CNOT,0.9861537952668584,8
fake_manila,Op.MEAS,1.92536,5
fake_melbourne,Op.CNOT,0.04790887603124917,40
fake_melbourne,Op.SX,0.39908674531544086,15
fake_melbourne,Op.X,0.39908674531544086,15
fake_melbourne,Op.MEAS,1.88372,15
fake_montreal,Op.X,0.6291723244163268,27
fake_montreal,Op.RESET,0.573360612917219,27
fake_montreal,Op.SX,0.6291723244163268,27
fake_montreal,Op.CNOT,0.3861317551834707,56
fake_montreal,Op.MEAS,1.9500444444444445,27
fake_oslo,Op.X,0.856672608540084,7
fake_oslo,Op.RESET,0.8467806071605123,7
fake_oslo,Op.SX,0.856672608540084,7
fake_oslo,Op.CNOT,0.8242058988745368,12
fake_oslo,Op.MEAS,1.9685142857142857,7
fake_ourense,Op.CNOT,0.7415310527329066,8
fake_ourense,Op.SX,0.7994804239841777,5
fake_ourense,Op.X,0.7994804239841777,5
fake_ourense,Op.MEAS,1.9387999999999999,5
fake_paris,Op.X,0.4069902325450836,27
fake_paris,Op.RESET,0.38066679077290905,27
fake_paris,Op.SX,0.4069902325450836,27
fake_paris,Op.CNOT,0.2456627726466703,56
fake_paris,Op.MEAS,1.9392296296296296,27
fake_quito,Op.X,0.5984306020107732,5
fake_quito,Op.RESET,0.4727849600000001,5
fake_quito,Op.SX,0.5984306020107732,5
fake_quito,Op.CNOT,0.0,8
fake_quito,Op.MEAS,1.8986399999999999,5
fake_poughkeepsie,Op.U3,0.3454717160204331,20
fake_poughkeepsie,Op.CNOT,0.2021178221190886,46
fake_poughkeepsie,Op.U2,0.3477306565026851,20
fake_poughkeepsie,Op.MEAS,1.8966,20
fake_rochester,Op.U3,0.48660982214762355,53
fake_rochester,Op.CNOT,0.20329696145326,116
fake_rochester,Op.U2,0.488582848628498,53
fake_rochester,Op.MEAS,1.7110377358490567,53
fake_rome,Op.X,0.39982039199185987,5
fake_rome,Op.RESET,0.386188474,5
fake_rome,Op.SX,0.39982039199185987,5
fake_rome,Op.CNOT,0.24755459673232422,8
fake_rome,Op.MEAS,1.94864,5
fake_santiago,Op.X,0.7997111739956152,5
fake_santiago,Op.RESET,0.7687571139278708,5
fake_santiago,Op.SX,0.7997111739956152,5
fake_santiago,Op.CNOT,0.7431817841063032,8
fake_santiago,Op.MEAS,1.97164,5
fake_singapore,Op.U3,0.3493381269567207,20
fake_singapore,Op.CNOT,0.12664119334985874,46
fake_singapore,Op.U2,0.3496689679691287,20
fake_singapore,Op.MEAS,1.9072500000000001,20
fake_sydney,Op.X,0.5180993422082556,27
fake_sydney,Op.RESET,0.4826595314403387,27
fake_sydney,Op.SX,0.5180993422082556,27
fake_sydney,Op.CNOT,0.38655154326693253,56
fake_sydney,Op.MEAS,1.922162962962963,27
fake_toronto,Op.X,0.33054137111290727,27
fake_toronto,Op.RESET,0.08221977946453418,27
fake_toronto,Op.SX,0.33054137111290727,27
fake_toronto,Op.CNOT,0.08339582879067715,56
fake_toronto,Op.MEAS,1.9103555555555556,27
fake_vigo,Op.CNOT,0.24741303456590247,8
fake_vigo,Op.SX,0.7992156098824401,5
fake_vigo,Op.X,0.7992156098824401,5
fake_vigo,Op.MEAS,1.9332,5
fake_washington,Op.X,0.48736091004838233,127
fake_washington,Op.RESET,0.48034711646456274,127
fake_washington,Op.SX,0.48736091004838233,127
fake_washington,Op.CNOT,0.24466890067614114,284
fake_washington,Op.MEAS,1.9450346456692913,127
fake_yorktown,Op.X,0.797760122019127,5
fake_yorktown,Op.RESET,0.622621832,5
fake_yorktown,Op.SX,0.797760122019127,5
fake_yorktown,Op.CNOT,0.31434320618353245,12
fake_yorktown,Op.MEAS,1.78816,5
fake_jakarta,Op.X,0.9992288556912642,7
fake_jakarta,Op.RESET,0.896485231985787,7
fake_jakarta,Op.SX,0.9992288556912642,7
fake_jakarta,Op.CNOT,0.9854927388724363,12
fake_jakarta,Op.MEAS,1.9385999999999999,7
