------ Experiment.bell_state_reach ------
%%%%%%%%%%%% bellman %%%%%%%%%%%%
count hardware (bellman):  45
count embeddings (bellman):  136
total diff. algorithms (bellman):  27
accuracy perfect hardware (bellman): 0.6, 0.6, 1.0, 1.0, 1.0, 1.0

num. algorithms per horizon (method=bellman)
1 :  1
2 :  1
3 :  4
4 :  6
5 :  7
6 :  8
--


number of improvements per horizon:
--> horizon 1: 7 
--> horizon 2: 7 
--> horizon 3: 7 
--> horizon 4: 135 
--> horizon 5: 17 
--> horizon 6: 135 


Improvements with respect to perfect algorithms per horizon
Horizon = 4
hardware=vigo-0, diff=0.02766, prob=0.93467, baseline_prob=0.90701, algorithm=6, method=bellman, horizon=4,
hardware=guadalupe-0, diff=0.02263, prob=0.94658, baseline_prob=0.92395, algorithm=6, method=bellman, horizon=4,
hardware=guadalupe-2, diff=0.02244, prob=0.93826, baseline_prob=0.91582, algorithm=6, method=bellman, horizon=4,
hardware=nairobi-0, diff=0.02175, prob=0.94861, baseline_prob=0.92686, algorithm=6, method=bellman, horizon=4,
hardware=nairobi-2, diff=0.02167, prob=0.94494, baseline_prob=0.92327, algorithm=6, method=bellman, horizon=4,
hardware=lima-0, diff=0.02159, prob=0.94955, baseline_prob=0.92796, algorithm=6, method=bellman, horizon=4,
hardware=bogota-0, diff=0.02124, prob=0.94861, baseline_prob=0.92737, algorithm=6, method=bellman, horizon=4,
hardware=essex-0, diff=0.02092, prob=0.94767, baseline_prob=0.92675, algorithm=6, method=bellman, horizon=4,
hardware=algiers-1, diff=0.02087, prob=0.95219, baseline_prob=0.93132, algorithm=6, method=bellman, horizon=4,
hardware=essex-2, diff=0.02068, prob=0.93678, baseline_prob=0.9161, algorithm=6, method=bellman, horizon=4,
hardware=ourense-0, diff=0.02057, prob=0.95219, baseline_prob=0.93162, algorithm=6, method=bellman, horizon=4,
hardware=ourense-2, diff=0.02052, prob=0.94975, baseline_prob=0.92923, algorithm=6, method=bellman, horizon=4,
hardware=valencia-0, diff=0.0204, prob=0.95138, baseline_prob=0.93098, algorithm=6, method=bellman, horizon=4,
hardware=kolkata-0, diff=0.01761, prob=0.95932, baseline_prob=0.94171, algorithm=6, method=bellman, horizon=4,
hardware=perth-0, diff=0.01644, prob=0.96205, baseline_prob=0.94561, algorithm=6, method=bellman, horizon=4,
hardware=belem-0, diff=0.01576, prob=0.95965, baseline_prob=0.94389, algorithm=6, method=bellman, horizon=4,
hardware=casablanca-0, diff=0.01255, prob=0.96885, baseline_prob=0.9563, algorithm=6, method=bellman, horizon=4,
hardware=casablanca-1, diff=0.01246, prob=0.96181, baseline_prob=0.94935, algorithm=6, method=bellman, horizon=4,
hardware=essex-1, diff=0.01168, prob=0.95691, baseline_prob=0.94523, algorithm=6, method=bellman, horizon=4,
hardware=rome-1, diff=0.01158, prob=0.96429, baseline_prob=0.95271, algorithm=6, method=bellman, horizon=4,
hardware=oslo-1, diff=0.01136, prob=0.97197, baseline_prob=0.96061, algorithm=6, method=bellman, horizon=4,
hardware=yorktown-0, diff=0.01049, prob=0.95198, baseline_prob=0.94149, algorithm=6, method=bellman, horizon=4,
hardware=melbourne-0, diff=0.01022, prob=0.96905, baseline_prob=0.95883, algorithm=6, method=bellman, horizon=4,
hardware=bogota-1, diff=0.01002, prob=0.92894, baseline_prob=0.91892, algorithm=6, method=bellman, horizon=4,
hardware=melbourne-2, diff=0.00993, prob=0.94238, baseline_prob=0.93245, algorithm=6, method=bellman, horizon=4,
hardware=burlington-0, diff=0.0094, prob=0.96397, baseline_prob=0.95457, algorithm=6, method=bellman, horizon=4,
hardware=valencia-1, diff=0.00906, prob=0.97269, baseline_prob=0.96363, algorithm=6, method=bellman, horizon=4,
hardware=rome-0, diff=0.00834, prob=0.97845, baseline_prob=0.97011, algorithm=6, method=bellman, horizon=4,
hardware=poughkeepsie-1, diff=0.00816, prob=0.97511, baseline_prob=0.96695, algorithm=6, method=bellman, horizon=4,
hardware=belem-1, diff=0.00801, prob=0.97642, baseline_prob=0.96841, algorithm=6, method=bellman, horizon=4,
hardware=belem-2, diff=0.00798, prob=0.97258, baseline_prob=0.9646, algorithm=6, method=bellman, horizon=4,
hardware=poughkeepsie-2, diff=0.0078, prob=0.93173, baseline_prob=0.92393, algorithm=6, method=bellman, horizon=4,
hardware=perth-1, diff=0.00762, prob=0.98116, baseline_prob=0.97354, algorithm=6, method=bellman, horizon=4,
hardware=perth-2, diff=0.00756, prob=0.97319, baseline_prob=0.96563, algorithm=6, method=bellman, horizon=4,
hardware=auckland-1, diff=0.00751, prob=0.98118, baseline_prob=0.97367, algorithm=6, method=bellman, horizon=4,
hardware=nairobi-1, diff=0.00715, prob=0.98083, baseline_prob=0.97368, algorithm=6, method=bellman, horizon=4,
hardware=nairobi-3, diff=0.00713, prob=0.97704, baseline_prob=0.96991, algorithm=6, method=bellman, horizon=4,
hardware=santiago-0, diff=0.00705, prob=0.98212, baseline_prob=0.97507, algorithm=6, method=bellman, horizon=4,
hardware=johannesburg-0, diff=0.00682, prob=0.9771, baseline_prob=0.97028, algorithm=6, method=bellman, horizon=4,
hardware=singapore-1, diff=0.00665, prob=0.98129, baseline_prob=0.97464, algorithm=6, method=bellman, horizon=4,
hardware=cambridge-0, diff=0.00662, prob=0.97718, baseline_prob=0.97056, algorithm=6, method=bellman, horizon=4,
hardware=johannesburg-2, diff=0.00661, prob=0.94727, baseline_prob=0.94066, algorithm=6, method=bellman, horizon=4,
hardware=singapore-3, diff=0.00656, prob=0.968, baseline_prob=0.96144, algorithm=6, method=bellman, horizon=4,
hardware=lagos-1, diff=0.00653, prob=0.98115, baseline_prob=0.97462, algorithm=6, method=bellman, horizon=4,
hardware=london-0, diff=0.00652, prob=0.98108, baseline_prob=0.97456, algorithm=6, method=bellman, horizon=4,
