------ Experiment.reset ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  55
count embeddings (convex):  109
total diff. algorithms (convex):  478
accuracy perfect hardware (convex): 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0

num. algorithms per horizon (method=convex)
1 :  19
2 :  25
3 :  72
4 :  83
5 :  76
6 :  105
7 :  98
--


number of improvements per horizon:
--> horizon 1: 108 
--> horizon 2: 81 
--> horizon 3: 108 
--> horizon 4: 93 
--> horizon 5: 108 
--> horizon 6: 108 
--> horizon 7: 108 


hardware=melbourne-1, diff=0.00083, prob=0.5, baseline_prob=0.49917, algorithm=97, method=convex, horizon=1,
hardware=boeblingen-1, diff=0.00082, prob=0.5, baseline_prob=0.49919, algorithm=97, method=convex, horizon=1,
hardware=rochester-0, diff=0.00081, prob=0.5, baseline_prob=0.49919, algorithm=97, method=convex, horizon=1,
hardware=quito-1, diff=0.0008, prob=0.5, baseline_prob=0.4992, algorithm=97, method=convex, horizon=1,
hardware=essex-0, diff=0.00079, prob=0.5, baseline_prob=0.49921, algorithm=97, method=convex, horizon=1,
hardware=poughkeepsie-1, diff=0.00072, prob=0.5, baseline_prob=0.49928, algorithm=97, method=convex, horizon=1,
hardware=burlington-1, diff=0.00059, prob=0.5, baseline_prob=0.49941, algorithm=139, method=convex, horizon=1,
hardware=toronto-0, diff=0.00056, prob=0.5, baseline_prob=0.49944, algorithm=42, method=convex, horizon=1,
hardware=bogota-1, diff=0.00051, prob=0.5, baseline_prob=0.49949, algorithm=42, method=convex, horizon=1,
hardware=algiers-1, diff=0.00047, prob=0.5, baseline_prob=0.49953, algorithm=42, method=convex, horizon=1,
hardware=almaden-0, diff=0.00045, prob=0.5, baseline_prob=0.49955, algorithm=42, method=convex, horizon=1,
hardware=cambridge-0, diff=0.00045, prob=0.5, baseline_prob=0.49955, algorithm=42, method=convex, horizon=1,
hardware=casablanca-0, diff=0.00045, prob=0.5, baseline_prob=0.49955, algorithm=42, method=convex, horizon=1,
hardware=singapore-0, diff=0.00044, prob=0.5, baseline_prob=0.49956, algorithm=42, method=convex, horizon=1,
hardware=london-1, diff=0.00043, prob=0.5, baseline_prob=0.49958, algorithm=42, method=convex, horizon=1,
hardware=manhattan-0, diff=0.00041, prob=0.5, baseline_prob=0.49959, algorithm=42, method=convex, horizon=1,
hardware=prague-0, diff=0.00039, prob=0.5, baseline_prob=0.49961, algorithm=42, method=convex, horizon=1,
hardware=london-0, diff=0.00038, prob=0.5, baseline_prob=0.49962, algorithm=42, method=convex, horizon=1,
hardware=manila-0, diff=0.00037, prob=0.5, baseline_prob=0.49963, algorithm=42, method=convex, horizon=1,
hardware=geneva-1, diff=0.00035, prob=0.5, baseline_prob=0.49965, algorithm=216, method=convex, horizon=1,
hardware=kyoto-1, diff=0.00034, prob=0.5, baseline_prob=0.49966, algorithm=216, method=convex, horizon=1,
hardware=lima-1, diff=0.00034, prob=0.5, baseline_prob=0.49966, algorithm=216, method=convex, horizon=1,
hardware=singapore-1, diff=0.00033, prob=0.5, baseline_prob=0.49967, algorithm=216, method=convex, horizon=1,
hardware=burlington-0, diff=0.00031, prob=0.5, baseline_prob=0.49969, algorithm=75, method=convex, horizon=1,
hardware=valencia-1, diff=0.0003, prob=0.5, baseline_prob=0.4997, algorithm=75, method=convex, horizon=1,
hardware=makarresh-0, diff=0.00029, prob=0.5, baseline_prob=0.49971, algorithm=35, method=convex, horizon=1,
hardware=nairobi-1, diff=0.00027, prob=0.5, baseline_prob=0.49973, algorithm=75, method=convex, horizon=1,
hardware=perth-0, diff=0.00027, prob=0.5, baseline_prob=0.49973, algorithm=75, method=convex, horizon=1,
hardware=boeblingen-0, diff=0.00025, prob=0.5, baseline_prob=0.49975, algorithm=75, method=convex, horizon=1,
hardware=casablanca-1, diff=0.00023, prob=0.5, baseline_prob=0.49977, algorithm=75, method=convex, horizon=1,
hardware=torino-0, diff=0.00023, prob=0.5, baseline_prob=0.49977, algorithm=75, method=convex, horizon=1,
hardware=washington-0, diff=0.00022, prob=0.5, baseline_prob=0.49978, algorithm=75, method=convex, horizon=1,
hardware=auckland-1, diff=0.00021, prob=0.5, baseline_prob=0.49979, algorithm=75, method=convex, horizon=1,
hardware=melbourne-0, diff=0.00021, prob=0.5, baseline_prob=0.49979, algorithm=35, method=convex, horizon=1,
hardware=vigo-0, diff=0.00021, prob=0.5, baseline_prob=0.49979, algorithm=35, method=convex, horizon=1,
hardware=guadalupe-0, diff=0.0002, prob=0.5, baseline_prob=0.4998, algorithm=35, method=convex, horizon=1,
hardware=nairobi-0, diff=0.0002, prob=0.5, baseline_prob=0.4998, algorithm=35, method=convex, horizon=1,
hardware=ourense-1, diff=0.0002, prob=0.5, baseline_prob=0.4998, algorithm=35, method=convex, horizon=1,
hardware=paris-0, diff=0.0002, prob=0.5, baseline_prob=0.4998, algorithm=35, method=convex, horizon=1,
hardware=perth-1, diff=0.0002, prob=0.5, baseline_prob=0.4998, algorithm=35, method=convex, horizon=1,
hardware=vigo-1, diff=0.0002, prob=0.5, baseline_prob=0.4998, algorithm=35, method=convex, horizon=1,
hardware=yorktown-0, diff=0.0002, prob=0.5, baseline_prob=0.4998, algorithm=35, method=convex, horizon=1,
hardware=athens-0, diff=0.00019, prob=0.5, baseline_prob=0.49981, algorithm=35, method=convex, horizon=1,
hardware=geneva-0, diff=0.00019, prob=0.5, baseline_prob=0.49981, algorithm=35, method=convex, horizon=1,
hardware=sydney-1, diff=0.00019, prob=0.5, baseline_prob=0.49981, algorithm=35, method=convex, horizon=1,
hardware=belem-1, diff=0.00017, prob=0.5, baseline_prob=0.49983, algorithm=35, method=convex, horizon=1,
hardware=kawasaki-0, diff=0.00016, prob=0.5, baseline_prob=0.49984, algorithm=35, method=convex, horizon=1,
hardware=manhattan-1, diff=0.00016, prob=0.5, baseline_prob=0.49984, algorithm=35, method=convex, horizon=1,
hardware=paris-1, diff=0.00016, prob=0.5, baseline_prob=0.49984, algorithm=35, method=convex, horizon=1,
hardware=rome-1, diff=0.00016, prob=0.5, baseline_prob=0.49984, algorithm=35, method=convex, horizon=1,
hardware=valencia-0, diff=0.00016, prob=0.5, baseline_prob=0.49984, algorithm=35, method=convex, horizon=1,
hardware=athens-1, diff=0.00015, prob=0.5, baseline_prob=0.49985, algorithm=35, method=convex, horizon=1,
hardware=fez-1, diff=0.00015, prob=0.5, baseline_prob=0.49985, algorithm=35, method=convex, horizon=1,
hardware=lagos-1, diff=0.00015, prob=0.5, baseline_prob=0.49985, algorithm=35, method=convex, horizon=1,
hardware=ourense-0, diff=0.00015, prob=0.5, baseline_prob=0.49985, algorithm=35, method=convex, horizon=1,
hardware=brooklyn-0, diff=0.00014, prob=0.5, baseline_prob=0.49986, algorithm=35, method=convex, horizon=1,
hardware=jakarta-0, diff=0.00014, prob=0.5, baseline_prob=0.49986, algorithm=35, method=convex, horizon=1,
hardware=jakarta-1, diff=0.00014, prob=0.5, baseline_prob=0.49986, algorithm=35, method=convex, horizon=1,
hardware=lagos-0, diff=0.00014, prob=0.5, baseline_prob=0.49986, algorithm=35, method=convex, horizon=1,
hardware=auckland-0, diff=0.00013, prob=0.5, baseline_prob=0.49987, algorithm=35, method=convex, horizon=1,
hardware=cairo-0, diff=0.00013, prob=0.5, baseline_prob=0.49987, algorithm=35, method=convex, horizon=1,
hardware=oslo-0, diff=0.00013, prob=0.5, baseline_prob=0.49987, algorithm=35, method=convex, horizon=1,
hardware=oslo-1, diff=0.00013, prob=0.5, baseline_prob=0.49987, algorithm=35, method=convex, horizon=1,
hardware=santiago-0, diff=0.00013, prob=0.5, baseline_prob=0.49987, algorithm=35, method=convex, horizon=1,
hardware=toronto-1, diff=0.00013, prob=0.5, baseline_prob=0.49987, algorithm=35, method=convex, horizon=1,
hardware=washington-1, diff=0.00013, prob=0.5, baseline_prob=0.49987, algorithm=35, method=convex, horizon=1,
hardware=belem-0, diff=0.00012, prob=0.5, baseline_prob=0.49988, algorithm=35, method=convex, horizon=1,
hardware=cusco-1, diff=0.00012, prob=0.5, baseline_prob=0.49988, algorithm=35, method=convex, horizon=1,
hardware=guadalupe-1, diff=0.00012, prob=0.5, baseline_prob=0.49988, algorithm=35, method=convex, horizon=1,
hardware=kawasaki-1, diff=0.00012, prob=0.5, baseline_prob=0.49988, algorithm=35, method=convex, horizon=1,
hardware=kyiv-0, diff=0.00012, prob=0.5, baseline_prob=0.49988, algorithm=35, method=convex, horizon=1,
hardware=algiers-0, diff=0.00011, prob=0.5, baseline_prob=0.49989, algorithm=35, method=convex, horizon=1,
hardware=brisbane-1, diff=0.00011, prob=0.5, baseline_prob=0.49989, algorithm=35, method=convex, horizon=1,
hardware=fez-0, diff=0.00011, prob=0.5, baseline_prob=0.49989, algorithm=35, method=convex, horizon=1,
hardware=manila-1, diff=0.00011, prob=0.5, baseline_prob=0.49989, algorithm=35, method=convex, horizon=1,
hardware=montreal-1, diff=0.00011, prob=0.5, baseline_prob=0.49989, algorithm=35, method=convex, horizon=1,
hardware=mumbai-0, diff=0.00011, prob=0.5, baseline_prob=0.49989, algorithm=35, method=convex, horizon=1,
hardware=rome-0, diff=0.00011, prob=0.5, baseline_prob=0.49989, algorithm=35, method=convex, horizon=1,
hardware=bogota-0, diff=0.0001, prob=0.5, baseline_prob=0.4999, algorithm=35, method=convex, horizon=1,
hardware=cusco-0, diff=0.0001, prob=0.5, baseline_prob=0.4999, algorithm=35, method=convex, horizon=1,
hardware=hanoi-1, diff=0.0001, prob=0.5, baseline_prob=0.4999, algorithm=35, method=convex, horizon=1,
hardware=sydney-0, diff=0.0001, prob=0.5, baseline_prob=0.4999, algorithm=35, method=convex, horizon=1,
hardware=hanoi-0, diff=9e-05, prob=0.5, baseline_prob=0.49991, algorithm=35, method=convex, horizon=1,
hardware=lima-0, diff=9e-05, prob=0.5, baseline_prob=0.49991, algorithm=35, method=convex, horizon=1,
hardware=mumbai-1, diff=9e-05, prob=0.5, baseline_prob=0.49991, algorithm=35, method=convex, horizon=1,
hardware=santiago-1, diff=9e-05, prob=0.5, baseline_prob=0.49991, algorithm=35, method=convex, horizon=1,
hardware=montreal-0, diff=8e-05, prob=0.5, baseline_prob=0.49992, algorithm=35, method=convex, horizon=1,
hardware=kolkata-1, diff=7e-05, prob=0.5, baseline_prob=0.49993, algorithm=35, method=convex, horizon=1,
hardware=kyoto-0, diff=7e-05, prob=0.5, baseline_prob=0.49993, algorithm=35, method=convex, horizon=1,
hardware=osaka-1, diff=7e-05, prob=0.5, baseline_prob=0.49993, algorithm=35, method=convex, horizon=1,
hardware=kyiv-1, diff=5e-05, prob=0.5, baseline_prob=0.49995, algorithm=35, method=convex, horizon=1,
hardware=prague-1, diff=4e-05, prob=0.5, baseline_prob=0.49996, algorithm=35, method=convex, horizon=1,

Horizon = 3
hardware=torino-1, diff=0.37827, prob=0.56405, baseline_prob=0.18578, algorithm=468, method=convex, horizon=3,
hardware=osaka-0, diff=0.25796, prob=0.55847, baseline_prob=0.30051, algorithm=366, method=convex, horizon=3,
hardware=cusco-1, diff=0.25396, prob=0.50195, baseline_prob=0.24799, algorithm=186, method=convex, horizon=3,
hardware=makarresh-1, diff=0.25244, prob=0.5258, baseline_prob=0.27336, algorithm=327, method=convex, horizon=3,
hardware=kyiv-1, diff=0.25001, prob=0.50317, baseline_prob=0.25316, algorithm=285, method=convex, horizon=3,
hardware=lagos-0, diff=0.24876, prob=0.53619, baseline_prob=0.28743, algorithm=300, method=convex, horizon=3,
hardware=kyoto-1, diff=0.24386, prob=0.57945, baseline_prob=0.33559, algorithm=295, method=convex, horizon=3,
hardware=rochester-1, diff=0.24216, prob=0.59688, baseline_prob=0.35472, algorithm=180, method=convex, horizon=3,
hardware=manhattan-0, diff=0.24094, prob=0.59622, baseline_prob=0.35528, algorithm=208, method=convex, horizon=3,
hardware=cambridge-1, diff=0.23861, prob=0.60971, baseline_prob=0.3711, algorithm=165, method=convex, horizon=3,
hardware=brisbane-0, diff=0.22693, prob=0.72379, baseline_prob=0.49686, algorithm=116, method=convex, horizon=3,
hardware=kawasaki-1, diff=0.22028, prob=0.67257, baseline_prob=0.45229, algorithm=264, method=convex, horizon=3,
hardware=washington-0, diff=0.21872, prob=0.67712, baseline_prob=0.4584, algorithm=354, method=convex, horizon=3,
hardware=yorktown-1, diff=0.20781, prob=0.70703, baseline_prob=0.49922, algorithm=501, method=convex, horizon=3,
hardware=toronto-0, diff=0.19949, prob=0.72525, baseline_prob=0.52576, algorithm=81, method=convex, horizon=3,
hardware=almaden-1, diff=0.17689, prob=0.77198, baseline_prob=0.59509, algorithm=56, method=convex, horizon=3,
hardware=paris-0, diff=0.16667, prob=0.78878, baseline_prob=0.62211, algorithm=237, method=convex, horizon=3,
hardware=boeblingen-1, diff=0.15613, prob=0.8068, baseline_prob=0.65067, algorithm=99, method=convex, horizon=3,
hardware=melbourne-1, diff=0.15236, prob=0.81288, baseline_prob=0.66052, algorithm=165, method=convex, horizon=3,
hardware=poughkeepsie-0, diff=0.1483, prob=0.82221, baseline_prob=0.67391, algorithm=402, method=convex, horizon=3,
hardware=johannesburg-1, diff=0.14348, prob=0.82674, baseline_prob=0.68326, algorithm=254, method=convex, horizon=3,
hardware=london-0, diff=0.13805, prob=0.83474, baseline_prob=0.69669, algorithm=81, method=convex, horizon=3,
hardware=cairo-1, diff=0.12958, prob=0.84832, baseline_prob=0.71874, algorithm=153, method=convex, horizon=3,
hardware=geneva-0, diff=0.12155, prob=0.85847, baseline_prob=0.73692, algorithm=208, method=convex, horizon=3,
hardware=sydney-1, diff=0.10453, prob=0.88146, baseline_prob=0.77693, algorithm=459, method=convex, horizon=3,
hardware=quito-1, diff=0.0994, prob=0.88828, baseline_prob=0.78888, algorithm=86, method=convex, horizon=3,
hardware=fez-1, diff=0.09486, prob=0.89393, baseline_prob=0.79907, algorithm=208, method=convex, horizon=3,
hardware=prague-0, diff=0.09264, prob=0.89679, baseline_prob=0.80415, algorithm=339, method=convex, horizon=3,
hardware=mumbai-1, diff=0.09103, prob=0.89873, baseline_prob=0.8077, algorithm=354, method=convex, horizon=3,
hardware=montreal-1, diff=0.08745, prob=0.90321, baseline_prob=0.81576, algorithm=237, method=convex, horizon=3,
hardware=manila-0, diff=0.08742, prob=0.9033, baseline_prob=0.81588, algorithm=339, method=convex, horizon=3,
hardware=brooklyn-1, diff=0.08141, prob=0.9111, baseline_prob=0.82969, algorithm=128, method=convex, horizon=3,
hardware=singapore-0, diff=0.08063, prob=0.91164, baseline_prob=0.83101, algorithm=165, method=convex, horizon=3,
hardware=hanoi-1, diff=0.07728, prob=0.91562, baseline_prob=0.83834, algorithm=237, method=convex, horizon=3,
hardware=vigo-0, diff=0.06963, prob=0.92472, baseline_prob=0.85509, algorithm=81, method=convex, horizon=3,
hardware=guadalupe-0, diff=0.05701, prob=0.93932, baseline_prob=0.88231, algorithm=222, method=convex, horizon=3,
hardware=nairobi-0, diff=0.05481, prob=0.94182, baseline_prob=0.88701, algorithm=104, method=convex, horizon=3,
hardware=lima-1, diff=0.0545, prob=0.9422, baseline_prob=0.8877, algorithm=307, method=convex, horizon=3,
hardware=bogota-1, diff=0.05386, prob=0.94295, baseline_prob=0.88909, algorithm=109, method=convex, horizon=3,
hardware=essex-1, diff=0.05352, prob=0.94338, baseline_prob=0.88986, algorithm=198, method=convex, horizon=3,
hardware=algiers-1, diff=0.05275, prob=0.94418, baseline_prob=0.89143, algorithm=44, method=convex, horizon=3,
hardware=jakarta-1, diff=0.05255, prob=0.94438, baseline_prob=0.89183, algorithm=244, method=convex, horizon=3,
hardware=ourense-1, diff=0.05179, prob=0.94522, baseline_prob=0.89343, algorithm=104, method=convex, horizon=3,
hardware=valencia-1, diff=0.05153, prob=0.94553, baseline_prob=0.894, algorithm=165, method=convex, horizon=3,
hardware=burlington-1, diff=0.04669, prob=0.95097, baseline_prob=0.90428, algorithm=141, method=convex, horizon=3,
