------ Experiment.bell_state_reach ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  45
count embeddings (convex):  136
total diff. algorithms (convex):  48
accuracy perfect hardware (convex): -0.0, 0.5, 1.0, 1.0, 1.0, 1.0

num. algorithms per horizon (method=convex)
1 :  1
2 :  1
3 :  1
4 :  15
5 :  15
6 :  15
--


number of improvements per horizon:
--> horizon 1: 0 
--> horizon 2: 0 
--> horizon 3: 0 
--> horizon 4: 135 
--> horizon 5: 13 
--> horizon 6: 135 


Improvements with respect to perfect algorithms per horizon
Horizon = 4
hardware=algiers-1, diff=0.05217, prob=0.94175, baseline_prob=0.88958, algorithm=7, method=convex, horizon=4,
hardware=essex-2, diff=0.0517, prob=0.92644, baseline_prob=0.87474, algorithm=7, method=convex, horizon=4,
hardware=ourense-0, diff=0.05143, prob=0.94191, baseline_prob=0.89048, algorithm=7, method=convex, horizon=4,
hardware=ourense-2, diff=0.0513, prob=0.93949, baseline_prob=0.88819, algorithm=7, method=convex, horizon=4,
hardware=valencia-0, diff=0.05101, prob=0.94118, baseline_prob=0.89017, algorithm=7, method=convex, horizon=4,
hardware=kolkata-0, diff=0.04401, prob=0.95052, baseline_prob=0.90651, algorithm=7, method=convex, horizon=4,
hardware=perth-0, diff=0.04111, prob=0.95383, baseline_prob=0.91272, algorithm=7, method=convex, horizon=4,
hardware=belem-0, diff=0.03941, prob=0.95177, baseline_prob=0.91236, algorithm=7, method=convex, horizon=4,
hardware=cambridge-2, diff=0.03871, prob=0.48965, baseline_prob=0.45094, algorithm=21, method=convex, horizon=4,
hardware=geneva-2, diff=0.03732, prob=0.4912, baseline_prob=0.45388, algorithm=32, method=convex, horizon=4,
hardware=rochester-2, diff=0.03565, prob=0.49303, baseline_prob=0.45738, algorithm=58, method=convex, horizon=4,
hardware=manhattan-3, diff=0.03399, prob=0.4948, baseline_prob=0.46081, algorithm=55, method=convex, horizon=4,
hardware=hanoi-2, diff=0.03363, prob=0.49518, baseline_prob=0.46155, algorithm=35, method=convex, horizon=4,
hardware=algiers-2, diff=0.03331, prob=0.49551, baseline_prob=0.4622, algorithm=13, method=convex, horizon=4,
hardware=washington-3, diff=0.0324, prob=0.49646, baseline_prob=0.46406, algorithm=66, method=convex, horizon=4,
hardware=casablanca-0, diff=0.03138, prob=0.96257, baseline_prob=0.93119, algorithm=7, method=convex, horizon=4,
hardware=casablanca-1, diff=0.03115, prob=0.95558, baseline_prob=0.92443, algorithm=7, method=convex, horizon=4,
hardware=essex-1, diff=0.0292, prob=0.95107, baseline_prob=0.92187, algorithm=7, method=convex, horizon=4,
hardware=rome-1, diff=0.02894, prob=0.9585, baseline_prob=0.92956, algorithm=7, method=convex, horizon=4,
hardware=oslo-1, diff=0.02841, prob=0.96629, baseline_prob=0.93788, algorithm=7, method=convex, horizon=4,
hardware=yorktown-0, diff=0.02622, prob=0.94673, baseline_prob=0.92051, algorithm=7, method=convex, horizon=4,
hardware=melbourne-0, diff=0.02555, prob=0.96394, baseline_prob=0.93839, algorithm=7, method=convex, horizon=4,
hardware=bogota-1, diff=0.02504, prob=0.92393, baseline_prob=0.89889, algorithm=7, method=convex, horizon=4,
hardware=melbourne-2, diff=0.02484, prob=0.93741, baseline_prob=0.91257, algorithm=7, method=convex, horizon=4,
hardware=burlington-0, diff=0.02351, prob=0.95927, baseline_prob=0.93576, algorithm=7, method=convex, horizon=4,
