------ Experiment.basic_zero_plus_discr ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  55
count embeddings (convex):  109
total diff. algorithms (convex):  483
accuracy perfect hardware (convex): 0.66667, 0.66667, 0.75, 0.75, 0.75, 0.75

num. algorithms per horizon (method=convex)
1 :  89
2 :  102
3 :  88
4 :  89
5 :  55
6 :  60
--


number of improvements per horizon:
--> horizon 1: 108 
--> horizon 2: 108 
--> horizon 3: 108 
--> horizon 4: 108 
--> horizon 5: 108 
--> horizon 6: 108 


Improvements with respect to perfect algorithms per horizon
Horizon = 1
hardware=bogota-0, diff=0.01193, prob=0.66053, baseline_prob=0.6486, algorithm=294, method=convex, horizon=1,
hardware=melbourne-0, diff=0.01167, prob=0.66067, baseline_prob=0.649, algorithm=119, method=convex, horizon=1,
hardware=burlington-0, diff=0.0108, prob=0.66113, baseline_prob=0.65033, algorithm=72, method=convex, horizon=1,
hardware=athens-1, diff=0.01071, prob=0.66118, baseline_prob=0.65047, algorithm=72, method=convex, horizon=1,
hardware=valencia-0, diff=0.01031, prob=0.66138, baseline_prob=0.65107, algorithm=277, method=convex, horizon=1,
hardware=quito-0, diff=0.00971, prob=0.66171, baseline_prob=0.652, algorithm=474, method=convex, horizon=1,
hardware=rome-1, diff=0.00944, prob=0.66184, baseline_prob=0.6524, algorithm=400, method=convex, horizon=1,
hardware=poughkeepsie-1, diff=0.00926, prob=0.66193, baseline_prob=0.65267, algorithm=441, method=convex, horizon=1,
hardware=belem-1, diff=0.0091, prob=0.66203, baseline_prob=0.65293, algorithm=181, method=convex, horizon=1,
hardware=perth-1, diff=0.00861, prob=0.66228, baseline_prob=0.65367, algorithm=338, method=convex, horizon=1,
hardware=auckland-1, diff=0.00847, prob=0.66234, baseline_prob=0.65387, algorithm=78, method=convex, horizon=1,
hardware=nairobi-1, diff=0.00808, prob=0.66255, baseline_prob=0.65447, algorithm=471, method=convex, horizon=1,
hardware=santiago-0, diff=0.00795, prob=0.66262, baseline_prob=0.65467, algorithm=342, method=convex, horizon=1,
hardware=johannesburg-0, diff=0.00773, prob=0.66273, baseline_prob=0.655, algorithm=377, method=convex, horizon=1,
hardware=cambridge-0, diff=0.00752, prob=0.66285, baseline_prob=0.65533, algorithm=0, method=convex, horizon=1,
hardware=singapore-1, diff=0.00752, prob=0.66285, baseline_prob=0.65533, algorithm=0, method=convex, horizon=1,
hardware=lagos-1, diff=0.00738, prob=0.66291, baseline_prob=0.65553, algorithm=223, method=convex, horizon=1,
