hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
algiers,0,bellman,1,0,75,0.598190,0.598190,-0.000000
algiers,0,convex,1,1,80,-0.000000,0.000000,-0.000000
algiers,0,bellman,2,2,75,0.598190,0.598190,-0.000000
algiers,0,convex,2,3,81,0.498490,0.498490,-0.000000
algiers,0,bellman,3,4,76,0.992200,0.992200,-0.000000
algiers,0,convex,3,5,82,0.992200,0.992200,-0.000000
algiers,0,bellman,4,6,77,0.993150,0.991250,0.001900
algiers,0,convex,4,7,83,0.992200,0.987440,0.004760
algiers,0,bellman,5,8,78,0.996920,0.996920,0.000000
algiers,0,convex,5,9,84,0.996920,0.996920,0.000000
algiers,0,bellman,6,10,79,0.996930,0.996900,0.000030
algiers,0,convex,6,11,85,0.996920,0.996850,0.000070
algiers,1,bellman,1,0,75,0.598190,0.598190,-0.000000
algiers,1,convex,1,1,80,-0.000000,0.000000,-0.000000
algiers,1,bellman,2,2,75,0.598190,0.598190,-0.000000
algiers,1,convex,2,3,81,0.498490,0.498490,-0.000000
algiers,1,bellman,3,4,76,0.941750,0.941750,-0.000000
algiers,1,convex,3,5,82,0.941750,0.941750,-0.000000
algiers,1,bellman,4,6,77,0.952190,0.931320,0.020870
algiers,1,convex,4,7,83,0.941750,0.889580,0.052170
algiers,1,bellman,5,8,78,0.988150,0.988150,0.000000
algiers,1,convex,5,9,84,0.988150,0.988150,0.000000
algiers,1,bellman,6,10,79,0.989780,0.986510,0.003270
algiers,1,convex,6,11,85,0.988150,0.979950,0.008200
algiers,2,bellman,1,0,75,0.280000,0.280000,-0.000000
algiers,2,convex,1,1,80,-0.000000,0.000000,-0.000000
algiers,2,bellman,2,2,75,0.280000,0.280000,-0.000000
algiers,2,convex,2,3,81,0.233330,0.233330,-0.000000
algiers,2,bellman,3,4,76,0.464430,0.464430,0.000000
algiers,2,convex,3,5,82,0.464430,0.464430,0.000000
algiers,2,bellman,4,12,77,0.497510,0.463980,0.033530
algiers,2,convex,4,13,83,0.495510,0.462200,0.033310
algiers,2,bellman,5,14,78,0.499560,0.466630,0.032930
algiers,2,convex,5,15,84,0.498480,0.466630,0.031850
algiers,2,bellman,6,16,79,0.499970,0.466630,0.033340
algiers,2,convex,6,17,85,0.499840,0.466600,0.033240
