hardware,embedding_index,horizon,method,time,result,threshold
athens,1,6,convex,0.171070,1,0.981760
auckland,0,1,bellman,0.005460,1,0.596930
auckland,0,1,convex,0.005510,1,0.000000
auckland,0,2,bellman,0.006530,1,0.596930
auckland,0,2,convex,0.018660,1,0.497280
auckland,0,3,bellman,0.012940,1,0.990080
auckland,0,3,convex,0.015260,1,0.990080
auckland,0,4,bellman,0.021350,1,0.991170
auckland,0,4,convex,0.067840,1,0.990080
auckland,0,5,bellman,0.041570,1,0.995470
auckland,0,5,convex,0.053610,1,0.995470
auckland,0,6,bellman,0.072450,1,0.995490
auckland,0,6,convex,0.213180,1,0.995470
auckland,1,1,bellman,0.007090,1,0.596930
auckland,1,1,convex,0.007270,1,0.000000
auckland,1,2,bellman,0.008460,1,0.596930
auckland,1,2,convex,0.022550,1,0.497280
auckland,1,3,bellman,0.016080,1,0.976420
auckland,1,3,convex,0.019210,1,0.976420
auckland,1,4,bellman,0.027350,1,0.980180
auckland,1,4,convex,0.082450,1,0.976420
auckland,1,5,bellman,0.051990,1,0.994470
auckland,1,5,convex,0.068430,1,0.994470
auckland,1,6,bellman,0.091440,1,0.994680
auckland,1,6,convex,0.266060,1,0.994470
auckland,2,1,bellman,0.007800,1,0.589660
auckland,2,1,convex,0.007960,1,0.000000
auckland,2,2,bellman,0.009300,1,0.589660
auckland,2,2,convex,0.027560,1,0.491210
auckland,2,3,bellman,0.019250,1,0.978010
auckland,2,3,convex,0.024200,1,0.978010
auckland,2,4,bellman,0.031790,1,0.979090
auckland,2,4,convex,0.098820,1,0.978010
auckland,2,5,bellman,0.061840,1,0.983340
auckland,2,5,convex,0.084240,1,0.983340
auckland,2,6,bellman,0.106610,1,0.983360
auckland,2,6,convex,0.321860,1,0.983340
belem,0,1,bellman,0.003840,1,0.594720
belem,0,1,convex,0.004070,1,0.000000
belem,0,2,bellman,0.004850,1,0.594720
belem,0,2,convex,0.015240,1,0.495440
belem,0,3,bellman,0.009890,1,0.950770
belem,0,3,convex,0.011680,1,0.950770
belem,0,4,bellman,0.016000,1,0.958650
belem,0,4,convex,0.054780,1,0.950770
belem,0,5,bellman,0.032380,1,0.986910
belem,0,5,convex,0.040450,1,0.986910
belem,0,6,bellman,0.055750,1,0.987840
belem,0,6,convex,0.173160,1,0.986910
belem,1,1,bellman,0.004770,1,0.594720
belem,1,1,convex,0.004810,1,0.000000
belem,1,2,bellman,0.005550,1,0.594720
belem,1,2,convex,0.016530,1,0.495440
belem,1,3,bellman,0.010940,1,0.971420
belem,1,3,convex,0.012700,1,0.971420
belem,1,4,bellman,0.017450,1,0.975420
belem,1,4,convex,0.057930,1,0.971420
belem,1,5,bellman,0.034640,1,0.990620
belem,1,5,convex,0.043540,1,0.990620
belem,1,6,bellman,0.059930,1,0.990870
belem,1,6,convex,0.178370,1,0.990620
belem,2,1,bellman,0.004230,1,0.592380
belem,2,1,convex,0.004350,1,0.000000
belem,2,2,bellman,0.005200,1,0.592380
belem,2,2,convex,0.015610,1,0.493480
belem,2,3,bellman,0.010320,1,0.967590
belem,2,3,convex,0.012160,1,0.967590
belem,2,4,bellman,0.017720,1,0.971580
belem,2,4,convex,0.056630,1,0.967590
belem,2,5,bellman,0.033310,1,0.986720
belem,2,5,convex,0.042050,1,0.986720
belem,2,6,bellman,0.058370,1,0.986960
belem,2,6,convex,0.173190,1,0.986720
boeblingen,0,1,bellman,0.005740,1,0.596560
boeblingen,0,1,convex,0.005920,1,0.000000
boeblingen,0,2,bellman,0.007020,1,0.596560
boeblingen,0,2,convex,0.018580,1,0.496970
boeblingen,0,3,bellman,0.012540,1,0.981790
boeblingen,0,3,convex,0.015040,1,0.981790
boeblingen,0,4,bellman,0.019780,1,0.984380
boeblingen,0,4,convex,0.064420,1,0.981790
boeblingen,0,5,bellman,0.038960,1,0.994420
boeblingen,0,5,convex,0.050140,1,0.994420
boeblingen,0,6,bellman,0.066580,1,0.994520
boeblingen,0,6,convex,0.197070,1,0.994420
boeblingen,1,1,bellman,0.006270,1,0.596560
boeblingen,1,1,convex,0.006580,1,0.000000
boeblingen,1,2,bellman,0.007740,1,0.596560
boeblingen,1,2,convex,0.020110,1,0.496970
boeblingen,1,3,bellman,0.013570,1,0.803020
boeblingen,1,3,convex,0.016260,1,0.803020
boeblingen,1,4,bellman,0.021380,1,0.834010
boeblingen,1,4,convex,0.068640,1,0.803020
boeblingen,1,5,bellman,0.041870,1,0.898240
boeblingen,1,5,convex,0.054300,1,0.898240
boeblingen,1,6,bellman,0.072220,1,0.912700
boeblingen,1,6,convex,0.212550,1,0.898240
boeblingen,2,1,bellman,0.005880,1,0.587920
boeblingen,2,1,convex,0.006210,1,0.000000
boeblingen,2,2,bellman,0.007310,1,0.587920
boeblingen,2,2,convex,0.019360,1,0.489760
boeblingen,2,3,bellman,0.013280,1,0.967570
boeblingen,2,3,convex,0.015990,1,0.967570
boeblingen,2,4,bellman,0.020560,1,0.970130
boeblingen,2,4,convex,0.067580,1,0.967570
boeblingen,2,5,bellman,0.040490,1,0.980020
boeblingen,2,5,convex,0.053160,1,0.980020
boeblingen,2,6,bellman,0.070620,1,0.980120
boeblingen,2,6,convex,0.208300,1,0.980020
boeblingen,3,1,bellman,0.006520,1,0.587920
boeblingen,3,1,convex,0.006770,1,0.000000
boeblingen,3,2,bellman,0.007910,1,0.587920
boeblingen,3,2,convex,0.020630,1,0.489760
boeblingen,3,3,bellman,0.014200,1,0.791390
boeblingen,3,3,convex,0.017100,1,0.791390
boeblingen,3,4,bellman,0.022330,1,0.821930
boeblingen,3,4,convex,0.071910,1,0.791390
boeblingen,3,5,bellman,0.043680,1,0.885230
boeblingen,3,5,convex,0.057870,1,0.885230
boeblingen,3,6,bellman,0.074920,1,0.899480
boeblingen,3,6,convex,0.222950,1,0.885230
bogota,0,1,bellman,0.004040,1,0.595560
bogota,0,1,convex,0.004330,1,0.000000
bogota,0,2,bellman,0.005140,1,0.595560
