algorithm_index,min_success0,avg_success0,max_success0,min_success1,avg_success1,max_success1,min_meas_succ,avg_meas_succ,max_meas_succ,min_diff_meas,avg_diff_meas,max_diff_meas,min_abs_diff_meas,avg_abs_diff_meas,max_abs_diff_meas,min_succ_1Q,avg_succ_1Q,max_succ_1Q,min_succ_2Q,avg_succ_2Q,max_succ_2Q,num_hardwares
1,0.5362,0.9217198455882362,1.0,0.5362,0.9217198455882362,1.0,0.5362,0.9217198455882362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9952507731092445,1.0,0.0,0.9199112647058821,0.995453,136
3,0.5362,0.9217198455882362,1.0,0.5362,0.9217198455882362,1.0,0.5362,0.9217198455882362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9952507731092445,1.0,0.0,0.9199112647058821,0.995453,136
5,0.5362,0.9217198455882362,1.0,0.5362,0.9217198455882362,1.0,0.5362,0.9217198455882362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9952507731092445,1.0,0.0,0.9199112647058821,0.995453,136
7,0.5963,0.932817638655463,0.9972,0.5963,0.932817638655463,0.9972,0.5963,0.932817638655463,0.9972,0.0,0.0,0.0,0.0,0.0,0.0,0.989691,0.9995338086124407,1.0,0.809911,0.9725460252100838,0.995453,119
9,0.5362,0.9262619752066122,0.9972,0.5362,0.9262619752066122,0.9972,0.5362,0.9262619752066122,0.9972,0.0,0.0,0.0,0.0,0.0,0.0,0.989691,0.9995384037558691,1.0,0.809911,0.9726151074380163,0.995453,121
11,0.5362,0.9262619752066122,0.9972,0.5362,0.9262619752066122,0.9972,0.5362,0.9262619752066122,0.9972,0.0,0.0,0.0,0.0,0.0,0.0,0.989691,0.9995384037558691,1.0,0.809911,0.9726151074380163,0.995453,121
13,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.99886,0.99943,1.0,0.5,0.5,0.5,1
15,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.99886,0.99943,1.0,0.5,0.5,0.5,1
17,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.99886,0.99943,1.0,0.5,0.5,0.5,1
18,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.0,0.0,0.0,0.0,0.0,0.0,0.99886,0.99943,1.0,0.5,0.5,0.5,1
19,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.0,0.0,0.0,0.0,0.0,0.0,0.99886,0.99943,1.0,0.5,0.5,0.5,1
20,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.0,0.0,0.0,0.0,0.0,0.0,0.99886,0.99943,1.0,0.5,0.5,0.5,1
21,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.0,0.0,0.0,0.0,0.0,0.0,0.999153,0.999153,0.999153,0.5,0.5,0.5,1
22,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.0,0.0,0.0,0.0,0.0,0.0,0.999153,0.999153,0.999153,0.5,0.5,0.5,1
24,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.0,0.0,0.0,0.0,0.0,0.0,0.999153,0.999153,0.999153,0.5,0.5,0.5,1
27,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.999153,0.999153,0.999153,0.5,0.5,0.5,1
