hardware,embedding_index,horizon,is_prob,prob_branch,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
algiers,0,1,0,0.0,1,80,-0.0,0.0,-0.0
algiers,0,2,1,0.49999999999999994,3,81,0.49849,0.49849,-0.0
algiers,0,3,0,0.0,5,82,0.9922,0.9922,-0.0
algiers,0,4,1,0.5,7,83,0.9922,0.98744,0.00476
algiers,0,5,0,0.0,9,84,0.99692,0.99692,0.0
algiers,0,6,1,0.5,11,85,0.99692,0.99685,7e-05
algiers,1,1,0,0.0,1,80,-0.0,0.0,-0.0
algiers,1,2,1,0.49999999999999994,3,81,0.49849,0.49849,-0.0
algiers,1,3,0,0.0,5,82,0.94175,0.94175,-0.0
algiers,1,4,1,0.5,7,83,0.94175,0.88958,0.05217
algiers,1,5,0,0.0,9,84,0.98815,0.98815,0.0
algiers,1,6,1,0.5,11,85,0.98815,0.97995,0.0082
algiers,2,1,0,0.0,1,80,-0.0,0.0,-0.0
algiers,2,2,1,0.49999999999999994,3,81,0.23333,0.23333,-0.0
algiers,2,3,0,0.0,5,82,0.46443,0.46443,0.0
algiers,2,4,1,0.9449218222847254,13,83,0.49551,0.4622,0.03331
algiers,2,5,1,0.4625151047282447,15,84,0.49848,0.46663,0.03185
algiers,2,6,1,0.4543987894916773,17,85,0.49984,0.4666,0.03324
algiers,3,1,0,0.0,1,80,-0.0,0.0,-0.0
algiers,3,2,1,0.49999999999999994,3,81,0.23333,0.23333,-0.0
algiers,3,3,0,0.0,5,82,0.44081,0.44081,-0.0
algiers,3,4,1,0.9755622633871999,18,83,0.4708,0.41639,0.05441
algiers,3,5,1,0.06608971246826709,19,84,0.49062,0.46253,0.02809
algiers,3,6,1,0.45948475874758454,20,85,0.49532,0.45869,0.03663
almaden,0,1,0,0.0,1,80,-0.0,0.0,-0.0
almaden,0,2,1,0.49999999999999994,3,81,0.49631,0.49631,-0.0
almaden,0,3,0,0.0,5,82,0.97774,0.97774,0.0
almaden,0,4,1,0.5,7,83,0.97774,0.96307,0.01467
almaden,0,5,0,0.0,9,84,0.99196,0.99196,-0.0
almaden,0,6,1,0.5,11,85,0.99196,0.99131,0.00065
almaden,1,1,0,0.0,1,80,-0.0,0.0,-0.0
almaden,1,2,1,0.49999999999999994,3,81,0.49631,0.49631,-0.0
almaden,1,3,0,0.0,5,82,0.76763,0.76763,-0.0
almaden,1,4,1,0.5,7,83,0.76763,0.59363,0.174
almaden,1,5,0,0.0,9,84,0.86275,0.86275,0.0
almaden,1,6,1,0.5,11,85,0.86275,0.77125,0.0915
almaden,2,1,0,0.0,1,80,-0.0,0.0,-0.0
almaden,2,2,1,0.49999999999999994,3,81,0.47507,0.47507,0.0
almaden,2,3,0,0.0,5,82,0.93588,0.93588,-0.0
almaden,2,4,1,0.5,7,83,0.93588,0.92184,0.01404
almaden,2,5,0,0.0,9,84,0.9495,0.9495,0.0
almaden,2,6,1,0.5,11,85,0.9495,0.94887,0.00063
almaden,3,1,0,0.0,1,80,-0.0,0.0,-0.0
almaden,3,2,1,0.49999999999999994,3,81,0.47507,0.47507,0.0
almaden,3,3,0,0.0,5,82,0.73477,0.73477,0.0
almaden,3,4,1,0.5,7,83,0.73477,0.56822,0.16655
almaden,3,5,0,0.0,9,84,0.82581,0.82581,-0.0
almaden,3,6,1,0.5,11,85,0.82581,0.73823,0.08758
athens,0,1,0,0.0,1,80,-0.0,0.0,-0.0
athens,0,2,1,0.49999999999999994,3,81,0.49735,0.49735,0.0
athens,0,3,0,0.0,5,82,0.98465,0.98465,0.0
athens,0,4,1,0.5,7,83,0.98465,0.9747,0.00995
athens,0,5,0,0.0,9,84,0.99439,0.99439,-0.0
athens,0,6,1,0.5,11,85,0.99439,0.99409,0.0003
athens,1,1,0,0.0,1,80,-0.0,0.0,-0.0
athens,1,2,1,0.49999999999999994,3,81,0.49153,0.49153,0.0
athens,1,3,0,0.0,5,82,0.97313,0.97313,0.0
athens,1,4,1,0.5,7,83,0.97313,0.9633,0.00983
athens,1,5,0,0.0,9,84,0.98276,0.98276,0.0
athens,1,6,1,0.5,11,85,0.98276,0.98246,0.0003
auckland,0,1,0,0.0,1,80,-0.0,0.0,-0.0
auckland,0,2,1,0.49999999999999994,3,81,0.49828,0.49828,0.0
auckland,0,3,0,0.0,5,82,0.99108,0.99108,0.0
auckland,0,4,1,0.5,7,83,0.99108,0.98563,0.00545
auckland,0,5,0,0.0,9,84,0.99647,0.99647,0.0
auckland,0,6,1,0.5,11,85,0.99647,0.99638,9e-05
auckland,1,1,0,0.0,1,80,-0.0,0.0,-0.0
auckland,1,2,1,0.49999999999999994,3,81,0.49828,0.49828,0.0
auckland,1,3,0,0.0,5,82,0.97742,0.97742,-0.0
auckland,1,4,1,0.5,7,83,0.97742,0.95866,0.01876
auckland,1,5,0,0.0,9,84,0.99547,0.99547,0.0
auckland,1,6,1,0.5,11,85,0.99547,0.99441,0.00106
auckland,2,1,0,0.0,1,80,-0.0,0.0,-0.0
auckland,2,2,1,0.49999999999999994,3,81,0.49221,0.49221,-0.0
auckland,2,3,0,0.0,5,82,0.97901,0.97901,-0.0
auckland,2,4,1,0.5,7,83,0.97901,0.97363,0.00538
auckland,2,5,0,0.0,9,84,0.98434,0.98434,0.0
auckland,2,6,1,0.5,11,85,0.98434,0.98425,9e-05
belem,0,1,0,0.0,1,80,-0.0,0.0,-0.0
belem,0,2,1,0.49999999999999994,3,81,0.49644,0.49644,0.0
belem,0,3,0,0.0,5,82,0.95177,0.95177,0.0
belem,0,4,1,0.5,7,83,0.95177,0.91236,0.03941
belem,0,5,0,0.0,9,84,0.98791,0.98791,0.0
belem,0,6,1,0.5,11,85,0.98791,0.98322,0.00469
belem,1,1,0,0.0,1,80,-0.0,0.0,-0.0
belem,1,2,1,0.49999999999999994,3,81,0.49644,0.49644,0.0
belem,1,3,0,0.0,5,82,0.97242,0.97242,0.0
belem,1,4,1,0.5,7,83,0.97242,0.95239,0.02003
belem,1,5,0,0.0,9,84,0.99162,0.99162,-0.0
belem,1,6,1,0.5,11,85,0.99162,0.99041,0.00121
belem,2,1,0,0.0,1,80,-0.0,0.0,-0.0
belem,2,2,1,0.49999999999999994,3,81,0.49448,0.49448,-0.0
belem,2,3,0,0.0,5,82,0.96859,0.96859,0.0
belem,2,4,1,0.5,7,83,0.96859,0.94864,0.01995
belem,2,5,0,0.0,9,84,0.98772,0.98772,0.0
belem,2,6,1,0.5,11,85,0.98772,0.98651,0.00121
boeblingen,0,1,0,0.0,1,80,-0.0,0.0,-0.0
boeblingen,0,2,1,0.49999999999999994,3,81,0.49797,0.49797,0.0
boeblingen,0,3,0,0.0,5,82,0.98279,0.98279,0.0
boeblingen,0,4,1,0.5,7,83,0.98279,0.96982,0.01297
boeblingen,0,5,0,0.0,9,84,0.99542,0.99542,0.0
boeblingen,0,6,1,0.5,11,85,0.99542,0.99491,0.00051
boeblingen,1,1,0,0.0,1,80,-0.0,0.0,-0.0
boeblingen,1,2,1,0.49999999999999994,3,81,0.49797,0.49797,0.0
boeblingen,1,3,0,0.0,5,82,0.80402,0.80402,0.0
boeblingen,1,4,1,0.5,7,83,0.80402,0.64908,0.15494
