0	10.000000	20.000000	10.000000	192.726956
5	10.000000	20.000000	10.000000	945.727696
6	10.000000	20.000000	10.000000	1213.718685
7	10.000000	20.000000	10.000000	1482.384948
8	10.000000	20.000000	10.000000	1750.885608
9	10.000000	20.000000	10.000000	2020.043567
10	10.000000	20.000000	10.000000	2288.860919
11	10.000000	20.000000	10.000000	2557.536551
12	10.000000	20.000000	10.000000	2828.141774
13	10.000000	20.000000	10.000000	3097.642150
14	10.000000	20.000000	10.000000	3367.075803
15	10.000000	20.000000	10.000000	3636.265871

10.000000	3636.266551
Agent policy:
  Deterministic policy v51_a2 --> 1.0
Nature policy:
  Environment 0, State 8 --> 0.0
  Environment 0, State 9 --> 0.0
  Environment 0, State 10 --> 0.0
  Environment 0, State 11 --> 0.0
  Environment 0, State 12 --> 0.0
  Environment 0, State 13 --> 0.0
  Environment 0, State 14 --> 0.0
  Environment 0, State 15 --> 0.0
  Environment 0, State 16 --> 0.0
  Environment 0, State 17 --> 0.0
  Environment 0, State 18 --> 0.0
  Environment 0, State 19 --> 0.0
  Environment 0, State 20 --> 0.0
  Environment 0, State 21 --> 0.0
  Environment 0, State 22 --> 0.0
  Environment 0, State 23 --> 0.0
  Environment 0, State 24 --> 0.0
  Environment 0, State 25 --> 0.0
  Environment 0, State 26 --> 0.0
  Environment 0, State 27 --> 0.0
  Environment 0, State 28 --> 1.0
