0	10.000000	10.000000	0.000000	143.039877

10.000000	430.201197
Agent policy:
  Deterministic policy v39_a2 --> 1.0
Nature policy:
  Environment 0, State 8 --> 0.0
  Environment 0, State 9 --> 0.0
  Environment 0, State 10 --> 0.0
  Environment 0, State 11 --> 0.0
  Environment 0, State 12 --> 0.0
  Environment 0, State 13 --> 0.0
  Environment 0, State 14 --> 0.0
  Environment 0, State 15 --> 0.0
  Environment 0, State 16 --> 0.0
  Environment 0, State 17 --> 0.0
  Environment 0, State 18 --> 0.0
  Environment 0, State 19 --> 0.0
  Environment 0, State 20 --> 0.0
  Environment 0, State 21 --> 0.0
  Environment 0, State 22 --> 0.0
  Environment 0, State 23 --> 0.0
  Environment 0, State 24 --> 0.0
  Environment 0, State 25 --> 0.0
  Environment 0, State 26 --> 0.0
  Environment 0, State 27 --> 0.0
  Environment 0, State 28 --> 1.0
