0	10.000000	20.000000	10.000000	240.220069
6	10.000000	20.000000	10.000000	1235.501287
7	10.000000	20.000000	10.000000	1773.443917
8	10.000000	20.000000	10.000000	2042.993166
9	10.000000	20.000000	10.000000	2312.468335
10	10.000000	20.000000	10.000000	2582.597958
11	10.000000	20.000000	10.000000	2852.326736
12	10.000000	20.000000	10.000000	3121.631335
13	10.000000	20.000000	10.000000	3391.381585
14	10.000000	20.000000	10.000000	3660.129793

10.000000	3660.130494
Agent policy:
  Deterministic policy v63_a2 --> 1.0
Nature policy:
  Environment 0, State 8 --> 0.0
  Environment 0, State 9 --> 0.0
  Environment 0, State 10 --> 0.0
  Environment 0, State 11 --> 0.0
  Environment 0, State 12 --> 0.0
  Environment 0, State 13 --> 0.0
  Environment 0, State 14 --> 0.0
  Environment 0, State 15 --> 0.0
  Environment 0, State 16 --> 0.0
  Environment 0, State 17 --> 0.0
  Environment 0, State 18 --> 0.0
  Environment 0, State 19 --> 0.0
  Environment 0, State 20 --> 0.0
  Environment 0, State 21 --> 0.0
  Environment 0, State 22 --> 0.0
  Environment 0, State 23 --> 0.0
  Environment 0, State 24 --> 0.0
  Environment 0, State 25 --> 0.0
  Environment 0, State 26 --> 0.0
  Environment 0, State 27 --> 0.0
  Environment 0, State 28 --> 1.0
