benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_61_71_4,1,0.003173,1,50,2,9.800000
iff.POMDP_61_71_4,1,0.002017,1,500,2,9.800000
iff.POMDP_61_71_4,1,0.002020,1,1000,2,9.800000
iff.POMDP_61_71_4,1,0.002000,1,2000,2,9.800000
iff.POMDP_61_71_4,2,0.091493,1,50,2,16.022000
iff.POMDP_61_71_4,2,0.091654,1,500,2,16.022000
iff.POMDP_61_71_4,2,0.091304,1,1000,2,16.022000
iff.POMDP_61_71_4,2,0.090895,1,2000,2,16.022000
iff.POMDP_61_71_4,3,3.050130,1,50,2,18.936222
iff.POMDP_61_71_4,3,3.041667,1,500,2,18.936222
iff.POMDP_61_71_4,3,3.056183,1,1000,2,18.936222
iff.POMDP_61_71_4,3,3.054699,1,2000,2,18.936222
iff.POMDP_61_71_4,4,76.095074,1,50,2,19.827149
iff.POMDP_61_71_4,4,75.987439,1,500,2,19.827149
iff.POMDP_61_71_4,4,75.602496,1,1000,2,19.827149
iff.POMDP_61_71_4,4,75.920173,1,2000,2,19.827149
iff.POMDP_61_71_4,5,1753.080971,1,50,2,19.977092
iff.POMDP_61_71_4,5,1757.065507,1,500,2,19.977092
iff.POMDP_61_71_4,5,1687.828397,1,1000,2,19.977092
iff.POMDP_61_71_4,5,1589.247383,1,2000,2,19.977092
iff.POMDP_61_71_4,6,3600.008123,1,50,2,-1.000000
iff.POMDP_61_71_4,6,3600.005996,1,500,2,-1.000000
iff.POMDP_61_71_4,6,3600.003488,1,1000,2,-1.000000
iff.POMDP_61_71_4,6,3600.005463,1,2000,2,-1.000000
