benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_69_73_4,1,0.009245,1,50,2,9.800000
iff.POMDP_69_73_4,1,0.001898,1,500,2,9.800000
iff.POMDP_69_73_4,1,0.001673,1,1000,2,9.800000
iff.POMDP_69_73_4,1,0.001656,1,2000,2,9.800000
iff.POMDP_69_73_4,2,0.072148,1,50,2,16.022000
iff.POMDP_69_73_4,2,0.072397,1,500,2,16.022000
iff.POMDP_69_73_4,2,0.072541,1,1000,2,16.022000
iff.POMDP_69_73_4,2,0.072992,1,2000,2,16.022000
iff.POMDP_69_73_4,3,2.807322,1,50,2,18.936222
iff.POMDP_69_73_4,3,2.804600,1,500,2,18.936222
iff.POMDP_69_73_4,3,2.796807,1,1000,2,18.936222
iff.POMDP_69_73_4,3,2.797414,1,2000,2,18.936222
iff.POMDP_69_73_4,4,89.905818,1,50,2,19.827149
iff.POMDP_69_73_4,4,89.434406,1,500,2,19.827149
iff.POMDP_69_73_4,4,93.833352,1,1000,2,19.827149
iff.POMDP_69_73_4,4,99.221837,1,2000,2,19.827149
iff.POMDP_69_73_4,5,2736.132794,1,50,2,19.977092
iff.POMDP_69_73_4,5,2731.938693,1,500,2,19.977092
iff.POMDP_69_73_4,5,2719.860707,1,1000,2,19.977092
iff.POMDP_69_73_4,5,2727.807176,1,2000,2,19.977092
iff.POMDP_69_73_4,6,3600.018066,1,50,2,-1.000000
iff.POMDP_69_73_4,6,3600.013336,1,500,2,-1.000000
iff.POMDP_69_73_4,6,3600.014740,1,1000,2,-1.000000
iff.POMDP_69_73_4,6,3600.016377,1,2000,2,-1.000000
