benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_61_73_5,1,0.003680,1,50,2,9.800000
iff.POMDP_61_73_5,1,0.001963,1,500,2,9.800000
iff.POMDP_61_73_5,1,0.001971,1,1000,2,9.800000
iff.POMDP_61_73_5,1,0.001868,1,2000,2,9.800000
iff.POMDP_61_73_5,2,0.063005,1,50,2,16.022000
iff.POMDP_61_73_5,2,0.063233,1,500,2,16.022000
iff.POMDP_61_73_5,2,0.063506,1,1000,2,16.022000
iff.POMDP_61_73_5,2,0.063483,1,2000,2,16.022000
iff.POMDP_61_73_5,3,1.778768,1,50,2,18.936222
iff.POMDP_61_73_5,3,1.776055,1,500,2,18.936222
iff.POMDP_61_73_5,3,1.769412,1,1000,2,18.936222
iff.POMDP_61_73_5,3,1.778767,1,2000,2,18.936222
iff.POMDP_61_73_5,4,41.759143,1,50,2,19.827149
iff.POMDP_61_73_5,4,41.583250,1,500,2,19.827149
iff.POMDP_61_73_5,4,41.569610,1,1000,2,19.827149
iff.POMDP_61_73_5,4,41.412356,1,2000,2,19.827149
iff.POMDP_61_73_5,5,944.742173,1,50,2,19.977092
iff.POMDP_61_73_5,5,923.422963,1,500,2,19.977092
iff.POMDP_61_73_5,5,936.795371,1,1000,2,19.977092
iff.POMDP_61_73_5,5,934.087059,1,2000,2,19.977092
iff.POMDP_61_73_5,6,3600.004458,1,50,2,-1.000000
iff.POMDP_61_73_5,6,3600.005796,1,500,2,-1.000000
iff.POMDP_61_73_5,6,3600.004885,1,1000,2,-1.000000
iff.POMDP_61_73_5,6,3600.003351,1,2000,2,-1.000000
