benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_59_63_4,1,0.002443,1,50,2,16.200000
iff.POMDP_59_63_4,1,0.001391,1,500,2,16.200000
iff.POMDP_59_63_4,1,0.001395,1,1000,2,16.200000
iff.POMDP_59_63_4,1,0.001396,1,2000,2,16.200000
iff.POMDP_59_63_4,2,0.043904,1,50,2,19.855600
iff.POMDP_59_63_4,2,0.044081,1,500,2,19.855600
iff.POMDP_59_63_4,2,0.043948,1,1000,2,19.855600
iff.POMDP_59_63_4,2,0.043572,1,2000,2,19.855600
iff.POMDP_59_63_4,3,1.097501,1,50,2,19.994513
iff.POMDP_59_63_4,3,1.102528,1,500,2,19.994513
iff.POMDP_59_63_4,3,1.114154,1,1000,2,19.994513
iff.POMDP_59_63_4,3,1.106117,1,2000,2,19.994513
iff.POMDP_59_63_4,4,26.797645,1,50,2,19.999791
iff.POMDP_59_63_4,4,26.769637,1,500,2,19.999791
iff.POMDP_59_63_4,4,26.690437,1,1000,2,19.999791
iff.POMDP_59_63_4,4,26.688561,1,2000,2,19.999791
iff.POMDP_59_63_4,5,573.965629,1,50,2,19.999992
iff.POMDP_59_63_4,5,574.368850,1,500,2,19.999992
iff.POMDP_59_63_4,5,554.557274,1,1000,2,19.999992
iff.POMDP_59_63_4,5,569.221645,1,2000,2,19.999992
iff.POMDP_59_63_4,6,3600.009726,1,50,2,-1.000000
iff.POMDP_59_63_4,6,3600.003722,1,500,2,-1.000000
iff.POMDP_59_63_4,6,3600.004602,1,1000,2,-1.000000
iff.POMDP_59_63_4,6,3600.002435,1,2000,2,-1.000000
