benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_59_73_8,1,0.003012,1,50,2,9.800000
iff.POMDP_59_73_8,1,0.001770,1,500,2,9.800000
iff.POMDP_59_73_8,1,0.001775,1,1000,2,9.800000
iff.POMDP_59_73_8,1,0.001741,1,2000,2,9.800000
iff.POMDP_59_73_8,2,0.061800,1,50,2,16.022000
iff.POMDP_59_73_8,2,0.061566,1,500,2,16.022000
iff.POMDP_59_73_8,2,0.061793,1,1000,2,16.022000
iff.POMDP_59_73_8,2,0.061774,1,2000,2,16.022000
iff.POMDP_59_73_8,3,1.776863,1,50,2,18.936222
iff.POMDP_59_73_8,3,1.770472,1,500,2,18.936222
iff.POMDP_59_73_8,3,1.767196,1,1000,2,18.936222
iff.POMDP_59_73_8,3,1.776315,1,2000,2,18.936222
iff.POMDP_59_73_8,4,45.545952,1,50,2,19.827149
iff.POMDP_59_73_8,4,45.343974,1,500,2,19.827149
iff.POMDP_59_73_8,4,45.445235,1,1000,2,19.827149
iff.POMDP_59_73_8,4,45.306708,1,2000,2,19.827149
iff.POMDP_59_73_8,5,1078.685550,1,50,2,19.977092
iff.POMDP_59_73_8,5,1054.857185,1,500,2,19.977092
iff.POMDP_59_73_8,5,1067.219643,1,1000,2,19.977092
iff.POMDP_59_73_8,5,1058.715057,1,2000,2,19.977092
iff.POMDP_59_73_8,6,3600.005941,1,50,2,-1.000000
iff.POMDP_59_73_8,6,3600.005353,1,500,2,-1.000000
iff.POMDP_59_73_8,6,3600.007864,1,1000,2,-1.000000
iff.POMDP_59_73_8,6,3600.006255,1,2000,2,-1.000000
