benchmark,horizon,time,set_size,n_initial_states,val
sunysb.POMDP_2,1,0.002042,1,2,0.000000
sunysb.POMDP_2,2,0.016032,1,2,0.000000
sunysb.POMDP_2,3,0.245509,1,2,0.000365
sunysb.POMDP_2,4,3.716883,2,2,0.040470
sunysb.POMDP_2,5,54.765974,4,2,0.634908
sunysb.POMDP_2,6,778.189423,16,2,0.870669
