benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_59_68_5,1,0.002533,1,50,2,12.800000
iff.POMDP_59_68_5,1,0.001568,1,500,2,12.800000
iff.POMDP_59_68_5,1,0.001552,1,1000,2,12.800000
iff.POMDP_59_68_5,1,0.001557,1,2000,2,12.800000
iff.POMDP_59_68_5,2,0.054220,1,50,2,18.387200
iff.POMDP_59_68_5,2,0.054314,1,500,2,18.387200
iff.POMDP_59_68_5,2,0.054349,1,1000,2,18.387200
iff.POMDP_59_68_5,2,0.054309,1,2000,2,18.387200
iff.POMDP_59_68_5,3,1.439690,1,50,2,19.842291
iff.POMDP_59_68_5,3,1.440523,1,500,2,19.842291
iff.POMDP_59_68_5,3,1.462140,1,1000,2,19.842291
iff.POMDP_59_68_5,3,1.502144,1,2000,2,19.842291
iff.POMDP_59_68_5,4,36.057385,1,50,2,19.987065
iff.POMDP_59_68_5,4,35.960461,1,500,2,19.987065
iff.POMDP_59_68_5,4,35.935477,1,1000,2,19.987065
iff.POMDP_59_68_5,4,35.987129,1,2000,2,19.987065
iff.POMDP_59_68_5,5,802.109224,1,50,2,19.999009
iff.POMDP_59_68_5,5,784.378354,1,500,2,19.999009
iff.POMDP_59_68_5,5,795.564134,1,1000,2,19.999009
iff.POMDP_59_68_5,5,794.954769,1,2000,2,19.999009
iff.POMDP_59_68_5,6,3600.008851,1,50,2,-1.000000
iff.POMDP_59_68_5,6,3600.009591,1,500,2,-1.000000
iff.POMDP_59_68_5,6,3600.004475,1,1000,2,-1.000000
iff.POMDP_59_68_5,6,3600.006500,1,2000,2,-1.000000
