benchmark,horizon,time,set_size,n_initial_states,val
iff.POMDP_59_71_5,1,0.002946,1,2,9.800000
iff.POMDP_59_71_5,2,0.080125,1,2,16.022000
iff.POMDP_59_71_5,3,2.724325,1,2,18.936222
iff.POMDP_59_71_5,4,77.992784,1,2,19.827149
iff.POMDP_59_71_5,5,1886.564731,1,2,19.977092
iff.POMDP_59_71_5,6,3600.006059,1,2,-1.000000
