benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_61_63_1,1,0.002684,1,50,2,16.200000
iff.POMDP_61_63_1,1,0.001508,1,500,2,16.200000
iff.POMDP_61_63_1,1,0.001496,1,1000,2,16.200000
iff.POMDP_61_63_1,1,0.001479,1,2000,2,16.200000
iff.POMDP_61_63_1,2,0.048142,1,50,2,19.855600
iff.POMDP_61_63_1,2,0.048209,1,500,2,19.855600
iff.POMDP_61_63_1,2,0.048470,1,1000,2,19.855600
iff.POMDP_61_63_1,2,0.048476,1,2000,2,19.855600
iff.POMDP_61_63_1,3,1.133055,1,50,2,19.994513
iff.POMDP_61_63_1,3,1.135205,1,500,2,19.994513
iff.POMDP_61_63_1,3,1.133052,1,1000,2,19.994513
iff.POMDP_61_63_1,3,1.133862,1,2000,2,19.994513
iff.POMDP_61_63_1,4,22.521395,1,50,2,19.999791
iff.POMDP_61_63_1,4,22.456938,1,500,2,19.999791
iff.POMDP_61_63_1,4,22.429448,1,1000,2,19.999791
iff.POMDP_61_63_1,4,22.423528,1,2000,2,19.999791
iff.POMDP_61_63_1,5,431.077230,1,50,2,19.999992
iff.POMDP_61_63_1,5,430.971830,1,500,2,19.999992
iff.POMDP_61_63_1,5,430.894025,1,1000,2,19.999992
iff.POMDP_61_63_1,5,412.534562,1,2000,2,19.999992
iff.POMDP_61_63_1,6,3600.003466,1,50,2,-1.000000
iff.POMDP_61_63_1,6,3600.006100,1,500,2,-1.000000
iff.POMDP_61_63_1,6,3600.004125,1,1000,2,-1.000000
iff.POMDP_61_63_1,6,3600.003700,1,2000,2,-1.000000
