benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_71_73_1,1,0.003161,1,50,2,9.800000
iff.POMDP_71_73_1,1,0.001661,1,500,2,9.800000
iff.POMDP_71_73_1,1,0.001648,1,1000,2,9.800000
iff.POMDP_71_73_1,1,0.001685,1,2000,2,9.800000
iff.POMDP_71_73_1,2,0.074249,1,50,2,16.022000
iff.POMDP_71_73_1,2,0.074129,1,500,2,16.022000
iff.POMDP_71_73_1,2,0.074686,1,1000,2,16.022000
iff.POMDP_71_73_1,2,0.074902,1,2000,2,16.022000
iff.POMDP_71_73_1,3,2.698094,1,50,2,18.936222
iff.POMDP_71_73_1,3,2.693554,1,500,2,18.936222
iff.POMDP_71_73_1,3,2.681788,1,1000,2,18.936222
iff.POMDP_71_73_1,3,2.678782,1,2000,2,18.936222
iff.POMDP_71_73_1,4,73.117417,1,50,2,19.827149
iff.POMDP_71_73_1,4,73.217272,1,500,2,19.827149
iff.POMDP_71_73_1,4,72.901761,1,1000,2,19.827149
iff.POMDP_71_73_1,4,79.720129,1,2000,2,19.827149
iff.POMDP_71_73_1,5,2019.309837,1,50,2,19.977092
iff.POMDP_71_73_1,5,2013.509333,1,500,2,19.977092
iff.POMDP_71_73_1,5,2010.269759,1,1000,2,19.977092
iff.POMDP_71_73_1,5,2004.826337,1,2000,2,19.977092
iff.POMDP_71_73_1,6,3600.012170,1,50,2,-1.000000
iff.POMDP_71_73_1,6,3600.013227,1,500,2,-1.000000
iff.POMDP_71_73_1,6,3600.017383,1,1000,2,-1.000000
iff.POMDP_71_73_1,6,3600.010297,1,2000,2,-1.000000
