benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_59_71_5,1,0.003000,1,50,2,9.800000
iff.POMDP_59_71_5,1,0.001962,1,500,2,9.800000
iff.POMDP_59_71_5,1,0.001974,1,1000,2,9.800000
iff.POMDP_59_71_5,1,0.001968,1,2000,2,9.800000
iff.POMDP_59_71_5,2,0.089857,1,50,2,16.022000
iff.POMDP_59_71_5,2,0.089664,1,500,2,16.022000
iff.POMDP_59_71_5,2,0.089751,1,1000,2,16.022000
iff.POMDP_59_71_5,2,0.089276,1,2000,2,16.022000
iff.POMDP_59_71_5,3,3.075602,1,50,2,18.936222
iff.POMDP_59_71_5,3,3.067854,1,500,2,18.936222
iff.POMDP_59_71_5,3,3.080265,1,1000,2,18.936222
iff.POMDP_59_71_5,3,3.078391,1,2000,2,18.936222
iff.POMDP_59_71_5,4,80.232462,1,50,2,19.827149
iff.POMDP_59_71_5,4,80.112137,1,500,2,19.827149
iff.POMDP_59_71_5,4,79.818400,1,1000,2,19.827149
iff.POMDP_59_71_5,4,80.254806,1,2000,2,19.827149
iff.POMDP_59_71_5,5,1888.083682,1,50,2,19.977092
iff.POMDP_59_71_5,5,1891.667129,1,500,2,19.977092
iff.POMDP_59_71_5,5,1789.633735,1,1000,2,19.977092
iff.POMDP_59_71_5,5,1697.890743,1,2000,2,19.977092
iff.POMDP_59_71_5,6,3600.009718,1,50,2,-1.000000
iff.POMDP_59_71_5,6,3600.006959,1,500,2,-1.000000
iff.POMDP_59_71_5,6,3600.011829,1,1000,2,-1.000000
iff.POMDP_59_71_5,6,3600.009793,1,2000,2,-1.000000
