benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_63_68_1,1,0.003362,1,50,2,12.800000
iff.POMDP_63_68_1,1,0.002155,1,500,2,12.800000
iff.POMDP_63_68_1,1,0.001782,1,1000,2,12.800000
iff.POMDP_63_68_1,1,0.001536,1,2000,2,12.800000
iff.POMDP_63_68_1,2,0.042051,1,50,2,18.387200
iff.POMDP_63_68_1,2,0.041861,1,500,2,18.387200
iff.POMDP_63_68_1,2,0.042113,1,1000,2,18.387200
iff.POMDP_63_68_1,2,0.042251,1,2000,2,18.387200
iff.POMDP_63_68_1,3,1.011277,1,50,2,19.842291
iff.POMDP_63_68_1,3,1.012403,1,500,2,19.842291
iff.POMDP_63_68_1,3,1.011804,1,1000,2,19.842291
iff.POMDP_63_68_1,3,1.008295,1,2000,2,19.842291
iff.POMDP_63_68_1,4,22.624369,1,50,2,19.987065
iff.POMDP_63_68_1,4,22.581904,1,500,2,19.987065
iff.POMDP_63_68_1,4,22.537068,1,1000,2,19.987065
iff.POMDP_63_68_1,4,22.505756,1,2000,2,19.987065
iff.POMDP_63_68_1,5,493.049143,1,50,2,19.999009
iff.POMDP_63_68_1,5,493.410346,1,500,2,19.999009
iff.POMDP_63_68_1,5,480.024496,1,1000,2,19.999009
iff.POMDP_63_68_1,5,484.259782,1,2000,2,19.999009
iff.POMDP_63_68_1,6,3600.003403,1,50,2,-1.000000
iff.POMDP_63_68_1,6,3600.004201,1,500,2,-1.000000
iff.POMDP_63_68_1,6,3600.003055,1,1000,2,-1.000000
iff.POMDP_63_68_1,6,3600.003747,1,2000,2,-1.000000
