benchmark,horizon,time,set_size,n_initial_states,val
iff_1_3_2_4,1,0.003083,2,3,0.000000
iff_1_3_2_4,2,0.027510,12,3,0.000000
iff_1_3_2_4,3,0.429682,182,3,0.000000
iff_1_3_2_4,4,131.846304,4677,3,0.000000
iff_1_3_2_4,5,3727.454160,15752,3,-1.000000
iff_1_3_2_4,6,5128.930740,50414,3,-1.000000
