benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_66_68_1,1,0.002757,1,50,2,12.800000
iff.POMDP_66_68_1,1,0.001490,1,500,2,12.800000
iff.POMDP_66_68_1,1,0.001466,1,1000,2,12.800000
iff.POMDP_66_68_1,1,0.001452,1,2000,2,12.800000
iff.POMDP_66_68_1,2,0.061513,1,50,2,18.387200
iff.POMDP_66_68_1,2,0.061602,1,500,2,18.387200
iff.POMDP_66_68_1,2,0.061522,1,1000,2,18.387200
iff.POMDP_66_68_1,2,0.061874,1,2000,2,18.387200
iff.POMDP_66_68_1,3,1.828469,1,50,2,19.842291
iff.POMDP_66_68_1,3,1.827813,1,500,2,19.842291
iff.POMDP_66_68_1,3,1.825969,1,1000,2,19.842291
iff.POMDP_66_68_1,3,1.827453,1,2000,2,19.842291
iff.POMDP_66_68_1,4,42.477801,1,50,2,19.987065
iff.POMDP_66_68_1,4,42.380878,1,500,2,19.987065
iff.POMDP_66_68_1,4,42.382977,1,1000,2,19.987065
iff.POMDP_66_68_1,4,42.386162,1,2000,2,19.987065
iff.POMDP_66_68_1,5,937.572767,1,50,2,19.999009
iff.POMDP_66_68_1,5,1031.090847,1,500,2,19.999009
iff.POMDP_66_68_1,5,1155.786762,1,1000,2,19.999009
iff.POMDP_66_68_1,5,1156.756529,1,2000,2,19.999009
iff.POMDP_66_68_1,6,3600.006014,1,50,2,-1.000000
iff.POMDP_66_68_1,6,3600.005607,1,500,2,-1.000000
iff.POMDP_66_68_1,6,3600.003998,1,1000,2,-1.000000
iff.POMDP_66_68_1,6,3600.004942,1,2000,2,-1.000000
