benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_69_71_1,1,0.003422,1,50,2,9.800000
iff.POMDP_69_71_1,1,0.001842,1,500,2,9.800000
iff.POMDP_69_71_1,1,0.001820,1,1000,2,9.800000
iff.POMDP_69_71_1,1,0.001786,1,2000,2,9.800000
iff.POMDP_69_71_1,2,0.101211,1,50,2,16.022000
iff.POMDP_69_71_1,2,0.098905,1,500,2,16.022000
iff.POMDP_69_71_1,2,0.100521,1,1000,2,16.022000
iff.POMDP_69_71_1,2,0.100274,1,2000,2,16.022000
iff.POMDP_69_71_1,3,4.109866,1,50,2,18.936222
iff.POMDP_69_71_1,3,4.096158,1,500,2,18.936222
iff.POMDP_69_71_1,3,4.086154,1,1000,2,18.936222
iff.POMDP_69_71_1,3,4.103937,1,2000,2,18.936222
iff.POMDP_69_71_1,4,125.678998,1,50,2,19.827149
iff.POMDP_69_71_1,4,128.865775,1,500,2,19.827149
iff.POMDP_69_71_1,4,142.132450,1,1000,2,19.827149
iff.POMDP_69_71_1,4,141.830979,1,2000,2,19.827149
iff.POMDP_69_71_1,5,3600.008348,2,50,2,-1.000000
iff.POMDP_69_71_1,5,3600.019499,2,500,2,-1.000000
iff.POMDP_69_71_1,5,3600.007900,2,1000,2,-1.000000
iff.POMDP_69_71_1,5,3600.003806,2,2000,2,-1.000000
iff.POMDP_69_71_1,6,3600.007817,1,50,2,-1.000000
iff.POMDP_69_71_1,6,3600.016210,1,500,2,-1.000000
iff.POMDP_69_71_1,6,3600.028117,1,1000,2,-1.000000
iff.POMDP_69_71_1,6,3600.024379,1,2000,2,-1.000000
