benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_59_66_2,1,0.002880,1,50,2,12.800000
iff.POMDP_59_66_2,1,0.001790,1,500,2,12.800000
iff.POMDP_59_66_2,1,0.001794,1,1000,2,12.800000
iff.POMDP_59_66_2,1,0.001800,1,2000,2,12.800000
iff.POMDP_59_66_2,2,0.081320,1,50,2,18.387200
iff.POMDP_59_66_2,2,0.081210,1,500,2,18.387200
iff.POMDP_59_66_2,2,0.081102,1,1000,2,18.387200
iff.POMDP_59_66_2,2,0.080963,1,2000,2,18.387200
iff.POMDP_59_66_2,3,2.393701,1,50,2,19.842291
iff.POMDP_59_66_2,3,2.451654,1,500,2,19.842291
iff.POMDP_59_66_2,3,2.500050,1,1000,2,19.842291
iff.POMDP_59_66_2,3,2.497941,1,2000,2,19.842291
iff.POMDP_59_66_2,4,58.721440,1,50,2,19.987065
iff.POMDP_59_66_2,4,58.546371,1,500,2,19.987065
iff.POMDP_59_66_2,4,58.455282,1,1000,2,19.987065
iff.POMDP_59_66_2,4,58.360217,1,2000,2,19.987065
iff.POMDP_59_66_2,5,1279.351696,1,50,2,19.999009
iff.POMDP_59_66_2,5,1270.321976,1,500,2,19.999009
iff.POMDP_59_66_2,5,1274.701229,1,1000,2,19.999009
iff.POMDP_59_66_2,5,1225.957065,1,2000,2,19.999009
iff.POMDP_59_66_2,6,3600.011895,1,50,2,-1.000000
iff.POMDP_59_66_2,6,3600.008358,1,500,2,-1.000000
iff.POMDP_59_66_2,6,3600.008976,1,1000,2,-1.000000
iff.POMDP_59_66_2,6,3600.003882,1,2000,2,-1.000000
