benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_64_68_4,1,0.002476,1,50,2,12.800000
iff.POMDP_64_68_4,1,0.001411,1,500,2,12.800000
iff.POMDP_64_68_4,1,0.001477,1,1000,2,12.800000
iff.POMDP_64_68_4,1,0.001395,1,2000,2,12.800000
iff.POMDP_64_68_4,2,0.059166,1,50,2,18.387200
iff.POMDP_64_68_4,2,0.058867,1,500,2,18.387200
iff.POMDP_64_68_4,2,0.058916,1,1000,2,18.387200
iff.POMDP_64_68_4,2,0.058816,1,2000,2,18.387200
iff.POMDP_64_68_4,3,1.893884,1,50,2,19.842291
iff.POMDP_64_68_4,3,1.881467,1,500,2,19.842291
iff.POMDP_64_68_4,3,1.882611,1,1000,2,19.842291
iff.POMDP_64_68_4,3,1.886364,1,2000,2,19.842291
iff.POMDP_64_68_4,4,51.349286,1,50,2,19.987065
iff.POMDP_64_68_4,4,51.305669,1,500,2,19.987065
iff.POMDP_64_68_4,4,51.271910,1,1000,2,19.987065
iff.POMDP_64_68_4,4,51.263284,1,2000,2,19.987065
iff.POMDP_64_68_4,5,1256.153940,1,50,2,19.999009
iff.POMDP_64_68_4,5,1504.884920,1,500,2,19.999009
iff.POMDP_64_68_4,5,1546.886958,1,1000,2,19.999009
iff.POMDP_64_68_4,5,1551.423855,1,2000,2,19.999009
iff.POMDP_64_68_4,6,3600.007199,1,50,2,-1.000000
iff.POMDP_64_68_4,6,3600.009732,1,500,2,-1.000000
iff.POMDP_64_68_4,6,3600.010025,1,1000,2,-1.000000
iff.POMDP_64_68_4,6,3600.010581,1,2000,2,-1.000000
