benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_61_66_1,1,0.003050,1,50,2,12.800000
iff.POMDP_61_66_1,1,0.001905,1,500,2,12.800000
iff.POMDP_61_66_1,1,0.001877,1,1000,2,12.800000
iff.POMDP_61_66_1,1,0.001904,1,2000,2,12.800000
iff.POMDP_61_66_1,2,0.085365,1,50,2,18.387200
iff.POMDP_61_66_1,2,0.084862,1,500,2,18.387200
iff.POMDP_61_66_1,2,0.085535,1,1000,2,18.387200
iff.POMDP_61_66_1,2,0.084655,1,2000,2,18.387200
iff.POMDP_61_66_1,3,2.488971,1,50,2,19.842291
iff.POMDP_61_66_1,3,2.472719,1,500,2,19.842291
iff.POMDP_61_66_1,3,2.470491,1,1000,2,19.842291
iff.POMDP_61_66_1,3,2.468212,1,2000,2,19.842291
iff.POMDP_61_66_1,4,54.693027,1,50,2,19.987065
iff.POMDP_61_66_1,4,54.541417,1,500,2,19.987065
iff.POMDP_61_66_1,4,54.462436,1,1000,2,19.987065
iff.POMDP_61_66_1,4,54.362894,1,2000,2,19.987065
iff.POMDP_61_66_1,5,1151.222391,1,50,2,19.999009
iff.POMDP_61_66_1,5,1127.171541,1,500,2,19.999009
iff.POMDP_61_66_1,5,1140.685413,1,1000,2,19.999009
iff.POMDP_61_66_1,5,1120.006767,1,2000,2,19.999009
iff.POMDP_61_66_1,6,3600.012652,1,50,2,-1.000000
iff.POMDP_61_66_1,6,3600.006049,1,500,2,-1.000000
iff.POMDP_61_66_1,6,3600.006192,1,1000,2,-1.000000
iff.POMDP_61_66_1,6,3600.008685,1,2000,2,-1.000000
