benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_63_73_4,1,0.002446,1,50,2,9.800000
iff.POMDP_63_73_4,1,0.001542,1,500,2,9.800000
iff.POMDP_63_73_4,1,0.001337,1,1000,2,9.800000
iff.POMDP_63_73_4,1,0.001447,1,2000,2,9.800000
iff.POMDP_63_73_4,2,0.039502,1,50,2,16.022000
iff.POMDP_63_73_4,2,0.040267,1,500,2,16.022000
iff.POMDP_63_73_4,2,0.039443,1,1000,2,16.022000
iff.POMDP_63_73_4,2,0.039486,1,2000,2,16.022000
iff.POMDP_63_73_4,3,1.072473,1,50,2,18.936222
iff.POMDP_63_73_4,3,1.064954,1,500,2,18.936222
iff.POMDP_63_73_4,3,1.070284,1,1000,2,18.936222
iff.POMDP_63_73_4,3,1.065276,1,2000,2,18.936222
iff.POMDP_63_73_4,4,26.632248,1,50,2,19.827149
iff.POMDP_63_73_4,4,26.585594,1,500,2,19.827149
iff.POMDP_63_73_4,4,26.615189,1,1000,2,19.827149
iff.POMDP_63_73_4,4,26.540578,1,2000,2,19.827149
iff.POMDP_63_73_4,5,642.650561,1,50,2,19.977092
iff.POMDP_63_73_4,5,642.910240,1,500,2,19.977092
iff.POMDP_63_73_4,5,731.356283,1,1000,2,19.977092
iff.POMDP_63_73_4,5,790.803040,1,2000,2,19.977092
iff.POMDP_63_73_4,6,3600.003657,1,50,2,-1.000000
iff.POMDP_63_73_4,6,3600.004282,1,500,2,-1.000000
iff.POMDP_63_73_4,6,3600.007886,1,1000,2,-1.000000
iff.POMDP_63_73_4,6,3600.003576,1,2000,2,-1.000000
