benchmark,horizon,time,set_size,n_initial_states,val
iff_2_3_0_4,1,0.002859,2,3,0.000000
iff_2_3_0_4,2,0.027011,11,3,0.000000
iff_2_3_0_4,3,0.462361,152,3,0.000000
iff_2_3_0_4,4,47.963635,3689,3,0.000000
iff_2_3_0_4,5,3819.019494,18650,3,-1.000000
iff_2_3_0_4,6,8447.934577,74306,3,-1.000000
