benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_64_66_1,1,0.002819,1,50,2,12.800000
iff.POMDP_64_66_1,1,0.001596,1,500,2,12.800000
iff.POMDP_64_66_1,1,0.001659,1,1000,2,12.800000
iff.POMDP_64_66_1,1,0.001599,1,2000,2,12.800000
iff.POMDP_64_66_1,2,0.082278,1,50,2,18.387200
iff.POMDP_64_66_1,2,0.082635,1,500,2,18.387200
iff.POMDP_64_66_1,2,0.082297,1,1000,2,18.387200
iff.POMDP_64_66_1,2,0.082000,1,2000,2,18.387200
iff.POMDP_64_66_1,3,2.719796,1,50,2,19.842291
iff.POMDP_64_66_1,3,2.723311,1,500,2,19.842291
iff.POMDP_64_66_1,3,2.709721,1,1000,2,19.842291
iff.POMDP_64_66_1,3,2.711709,1,2000,2,19.842291
iff.POMDP_64_66_1,4,70.542469,1,50,2,19.987065
iff.POMDP_64_66_1,4,70.475625,1,500,2,19.987065
iff.POMDP_64_66_1,4,70.406821,1,1000,2,19.987065
iff.POMDP_64_66_1,4,70.437811,1,2000,2,19.987065
iff.POMDP_64_66_1,5,1742.316748,1,50,2,19.999009
iff.POMDP_64_66_1,5,2053.782218,1,500,2,19.999009
iff.POMDP_64_66_1,5,2059.972001,1,1000,2,19.999009
iff.POMDP_64_66_1,5,2062.121347,1,2000,2,19.999009
iff.POMDP_64_66_1,6,3600.013342,1,50,2,-1.000000
iff.POMDP_64_66_1,6,3600.014202,1,500,2,-1.000000
iff.POMDP_64_66_1,6,3600.011716,1,1000,2,-1.000000
iff.POMDP_64_66_1,6,3600.010135,1,2000,2,-1.000000
