benchmark,horizon,time,val
RockSample_POMDP_N3_G1_K2_R18,1,0.746911,0.0
RockSample_POMDP_N3_G1_K2_R18,2,1.831455,0.0
RockSample_POMDP_N3_G1_K2_R18,3,3.317204,10.0
RockSample_POMDP_N3_G1_K2_R18,4,5.147100,10.0
RockSample_POMDP_N3_G1_K2_R18,5,7.339211,10.0
RockSample_POMDP_N3_G1_K2_R18,6,3601.370035,10.0
RockSample_POMDP_N3_G1_K2_R18,7,3601.838539,10.0
RockSample_POMDP_N3_G1_K3_R13,1,1.468260,0.0
RockSample_POMDP_N3_G1_K3_R13,2,3.682926,0.0
RockSample_POMDP_N3_G1_K3_R13,3,6.633139,10.0
RockSample_POMDP_N3_G1_K3_R13,4,3603.120424,10.0
RockSample_POMDP_N3_G1_K3_R13,5,3601.544720,10.0
RockSample_POMDP_N3_G1_K3_R13,6,3605.128274,10.0
RockSample_POMDP_N3_G1_K3_R13,7,3601.753607,10.0
RockSample_POMDP_N3_G1_K4_R83,1,2.514072,0.0
RockSample_POMDP_N3_G1_K4_R83,2,6.277921,0.0
RockSample_POMDP_N3_G1_K4_R83,3,11.316916,10.0
RockSample_POMDP_N3_G1_K4_R83,4,3600.198184,10.0
RockSample_POMDP_N3_G1_K4_R83,5,3606.612811,10.0
RockSample_POMDP_N3_G1_K4_R83,6,3601.699262,10.0
RockSample_POMDP_N3_G1_K4_R83,7,3608.454673,10.0
RockSample_POMDP_N3_G2_K3_R4,1,3.963742,0.0
RockSample_POMDP_N3_G2_K3_R4,2,20.648849,0.0
RockSample_POMDP_N3_G2_K3_R4,3,17.703212,10.0
RockSample_POMDP_N3_G2_K3_R4,4,3600.275888,10.0
RockSample_POMDP_N3_G2_K3_R4,5,3608.547616,10.0
RockSample_POMDP_N3_G2_K3_R4,6,3625.861361,15.0
RockSample_POMDP_N3_G2_K3_R4,7,3626.755739,20.0
RockSample_POMDP_N4_G1_K2_R33,1,2.012393,0.0
RockSample_POMDP_N4_G1_K2_R33,2,5.030093,0.0
RockSample_POMDP_N4_G1_K2_R33,3,19.874442,0.0
RockSample_POMDP_N4_G1_K2_R33,4,14.029852,10.0
RockSample_POMDP_N4_G1_K2_R33,5,19.977210,10.0
RockSample_POMDP_N4_G1_K2_R33,6,43.406723,10.0
RockSample_POMDP_N4_G1_K2_R33,7,3605.593493,10.0
RockSample_POMDP_N5_G1_K2_R96,1,4.676668,0.0
RockSample_POMDP_N5_G1_K2_R96,2,11.722376,0.0
RockSample_POMDP_N5_G1_K2_R96,3,21.185877,0.0
RockSample_POMDP_N5_G1_K2_R96,4,32.967959,0.0
RockSample_POMDP_N5_G1_K2_R96,5,47.024012,10.0
RockSample_POMDP_N5_G1_K2_R96,6,63.486670,10.0
RockSample_POMDP_N5_G1_K2_R96,7,81.834140,10.0
RockSample_POMDP_N6_G1_K2_R77,1,9.682502,0.0
RockSample_POMDP_N6_G1_K2_R77,2,24.144126,0.0
RockSample_POMDP_N6_G1_K2_R77,3,43.757862,0.0
RockSample_POMDP_N6_G1_K2_R77,4,67.697197,0.0
RockSample_POMDP_N6_G1_K2_R77,5,3616.483764,0.0
RockSample_POMDP_N6_G1_K2_R77,6,131.803457,10.0
RockSample_POMDP_N6_G1_K2_R77,7,170.475304,10.0
