algorithm_index,min_success0,avg_success0,max_success0,min_success1,avg_success1,max_success1,min_meas_succ,avg_meas_succ,max_meas_succ,min_diff_meas,avg_diff_meas,max_diff_meas,min_abs_diff_meas,avg_abs_diff_meas,max_abs_diff_meas,min_succ_1Q,avg_succ_1Q,max_succ_1Q,min_succ_2Q,avg_succ_2Q,max_succ_2Q,num_hardwares
59,0.9569,0.9662999999999999,0.9757,0.9569,0.9662999999999999,0.9757,0.9569,0.9662999999999999,0.9757,0.0,0.0,0.0,0.0,0.0,0.0,0.999203,0.9993695,0.999536,100,0.0,0.0,2
60,0.9569,0.9662999999999999,0.9757,0.9569,0.9662999999999999,0.9757,0.9569,0.9662999999999999,0.9757,0.0,0.0,0.0,0.0,0.0,0.0,0.999203,0.9993695,0.999536,100,0.0,0.0,2
61,0.9757,0.9757,0.9757,0.9757,0.9757,0.9757,0.9757,0.9757,0.9757,0.0,0.0,0.0,0.0,0.0,0.0,0.999536,0.999536,0.999536,100,0.0,0.0,1
62,0.9757,0.9757,0.9757,0.9757,0.9757,0.9757,0.9757,0.9757,0.9757,0.0,0.0,0.0,0.0,0.0,0.0,0.999536,0.999536,0.999536,100,0.0,0.0,1
63,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.0,0.0,0.0,0.0,0.0,0.0,0.99962,0.99962,0.99962,100,0.0,0.0,1
64,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.0,0.0,0.0,0.0,0.0,0.0,0.99962,0.99962,0.99962,100,0.0,0.0,1
65,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.0,0.0,0.0,0.0,0.0,0.0,0.99962,0.99962,0.99962,100,0.0,0.0,1
66,0.9808,0.9870666666666668,0.9929,0.9808,0.9870666666666668,0.9929,0.9808,0.9870666666666668,0.9929,0.0,0.0,0.0,0.0,0.0,0.0,0.999358,0.9995660000000001,0.999759,100,0.0,0.0,3
67,0.9808,0.9870666666666668,0.9929,0.9808,0.9870666666666668,0.9929,0.9808,0.9870666666666668,0.9929,0.0,0.0,0.0,0.0,0.0,0.0,0.999358,0.9995660000000001,0.999759,100,0.0,0.0,3
68,0.9808,0.9870666666666668,0.9929,0.9808,0.9870666666666668,0.9929,0.9808,0.9870666666666668,0.9929,0.0,0.0,0.0,0.0,0.0,0.0,0.999358,0.9995660000000001,0.999759,100,0.0,0.0,3
69,0.9808,0.9841500000000001,0.9875,0.9808,0.9841500000000001,0.9875,0.9808,0.9841500000000001,0.9875,0.0,0.0,0.0,0.0,0.0,0.0,0.999358,0.9994695,0.999581,100,0.0,0.0,2
70,0.9808,0.9808,0.9808,0.9808,0.9808,0.9808,0.9808,0.9808,0.9808,0.0,0.0,0.0,0.0,0.0,0.0,0.999358,0.999358,0.999358,100,0.0,0.0,1
71,0.7255,0.861,0.9586,0.7255,0.861,0.9586,0.7255,0.861,0.9586,0.0,0.0,0.0,0.0,0.0,0.0,0.998319,0.99904975,0.999654,100,0.0,0.0,4
72,0.7255,0.8696666666666667,0.9586,0.7255,0.8696666666666667,0.9586,0.7255,0.8696666666666667,0.9586,0.0,0.0,0.0,0.0,0.0,0.0,0.998319,0.9991176666666667,0.999654,100,0.0,0.0,3
73,0.9586,0.9586,0.9586,0.9586,0.9586,0.9586,0.9586,0.9586,0.9586,0.0,0.0,0.0,0.0,0.0,0.0,0.999654,0.999654,0.999654,100,0.0,0.0,1
74,0.9586,0.9586,0.9586,0.9586,0.9586,0.9586,0.9586,0.9586,0.9586,0.0,0.0,0.0,0.0,0.0,0.0,0.999654,0.999654,0.999654,100,0.0,0.0,1
75,0.9586,0.9586,0.9586,0.9586,0.9586,0.9586,0.9586,0.9586,0.9586,0.0,0.0,0.0,0.0,0.0,0.0,0.999654,0.999654,0.999654,100,0.0,0.0,1
76,0.8889,0.9472666666666667,0.9794,0.8889,0.9472666666666667,0.9794,0.8889,0.9472666666666667,0.9794,0.0,0.0,0.0,0.0,0.0,0.0,0.997602,0.9988256666666667,0.999503,100,0.0,0.0,3
77,0.8889,0.9472666666666667,0.9794,0.8889,0.9472666666666667,0.9794,0.8889,0.9472666666666667,0.9794,0.0,0.0,0.0,0.0,0.0,0.0,0.997602,0.9988256666666667,0.999503,100,0.0,0.0,3
78,0.9735,0.97645,0.9794,0.9735,0.97645,0.9794,0.9735,0.97645,0.9794,0.0,0.0,0.0,0.0,0.0,0.0,0.999372,0.9994375,0.999503,100,0.0,0.0,2
79,0.9794,0.9794,0.9794,0.9794,0.9794,0.9794,0.9794,0.9794,0.9794,0.0,0.0,0.0,0.0,0.0,0.0,0.999503,0.999503,0.999503,100,0.0,0.0,1
80,0.9794,0.9794,0.9794,0.9794,0.9794,0.9794,0.9794,0.9794,0.9794,0.0,0.0,0.0,0.0,0.0,0.0,0.999503,0.999503,0.999503,100,0.0,0.0,1
81,0.9458,0.9678,0.9868,0.9458,0.9678,0.9868,0.9458,0.9678,0.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.999106,0.9991905000000001,0.99925,100,0.0,0.0,4
82,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.99925,0.99925,0.99925,100,0.0,0.0,1
83,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.99925,0.99925,0.99925,100,0.0,0.0,1
84,0.9868,0.9916,0.9964,0.9868,0.9916,0.9964,0.9868,0.9916,0.9964,0.0,0.0,0.0,0.0,0.0,0.0,0.99925,0.9995225,0.999795,100,0.0,0.0,2
85,0.9868,0.9916,0.9964,0.9868,0.9916,0.9964,0.9868,0.9916,0.9964,0.0,0.0,0.0,0.0,0.0,0.0,0.99925,0.9995225,0.999795,100,0.0,0.0,2
86,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.99925,0.99925,0.99925,100,0.0,0.0,1
