hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
bogota,0,bellman,5,3,496,0.997830,0.997740,0.000090
bogota,0,bellman,6,7,498,0.999710,0.999710,0.000000
bogota,0,bellman,7,5,500,0.999810,0.999710,0.000100
bogota,0,bellman,8,8,501,0.999960,0.999880,0.000080
bogota,1,bellman,2,0,490,0.942950,0.942950,0.000000
bogota,1,bellman,3,1,492,0.942950,0.942950,0.000000
bogota,1,bellman,4,2,494,0.990250,0.990250,-0.000000
bogota,1,bellman,5,3,496,0.990650,0.990250,0.000400
bogota,1,bellman,6,7,498,0.997830,0.997830,0.000000
bogota,1,bellman,7,5,500,0.998290,0.997830,0.000460
bogota,1,bellman,8,8,501,0.999470,0.999180,0.000290
brisbane,0,bellman,2,0,490,0.723790,0.723790,0.000000
brisbane,0,bellman,3,1,492,0.723790,0.723790,0.000000
brisbane,0,bellman,4,2,494,0.805310,0.805310,-0.000000
brisbane,0,bellman,5,3,496,0.825360,0.805310,0.020050
brisbane,0,bellman,6,4,498,0.862480,0.849860,0.012620
brisbane,0,bellman,7,5,500,0.878770,0.849860,0.028910
brisbane,0,bellman,8,11,501,0.901620,0.876900,0.024720
brisbane,1,bellman,2,0,490,0.994270,0.994270,-0.000000
brisbane,1,bellman,3,1,492,0.994270,0.994270,-0.000000
brisbane,1,bellman,4,2,494,0.999790,0.999790,-0.000000
brisbane,1,bellman,5,3,496,0.999900,0.999790,0.000110
brisbane,1,bellman,6,4,498,0.999980,0.999880,0.000100
brisbane,1,bellman,7,5,500,1.000000,0.999880,0.000120
brisbane,1,bellman,8,6,501,1.000000,0.999890,0.000110
brooklyn,0,bellman,2,0,490,0.987360,0.987360,-0.000000
brooklyn,0,bellman,3,1,492,0.987360,0.987360,-0.000000
brooklyn,0,bellman,4,2,494,0.999400,0.999400,0.000000
brooklyn,0,bellman,5,3,496,0.999530,0.999400,0.000130
brooklyn,0,bellman,6,4,498,0.999900,0.999840,0.000060
brooklyn,0,bellman,7,5,500,0.999980,0.999840,0.000140
brooklyn,0,bellman,8,6,501,0.999990,0.999860,0.000130
brooklyn,1,bellman,2,0,490,0.911100,0.911100,0.000000
brooklyn,1,bellman,3,1,492,0.911100,0.911100,0.000000
brooklyn,1,bellman,4,2,494,0.976270,0.976270,0.000000
brooklyn,1,bellman,5,3,496,0.978030,0.976270,0.001760
brooklyn,1,bellman,6,7,498,0.991770,0.991770,0.000000
brooklyn,1,bellman,7,5,500,0.993920,0.991770,0.002150
brooklyn,1,bellman,8,8,501,0.997120,0.995860,0.001260
burlington,0,bellman,2,0,490,0.975200,0.975200,-0.000000
burlington,0,bellman,3,1,492,0.975200,0.975200,-0.000000
burlington,0,bellman,4,2,494,0.997920,0.997920,0.000000
burlington,0,bellman,5,3,496,0.998200,0.997920,0.000280
burlington,0,bellman,6,4,498,0.999560,0.999550,0.000010
