hardware,embedding_index,horizon,is_prob,prob_branch,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
algiers,0,1,1,0.500111524870046,35,513,0.5,0.49989,0.00011
algiers,0,2,1,0.9997769502599078,36,514,0.99498,0.99498,0.0
algiers,0,3,1,0.48832679465121726,37,516,0.99509,0.9902,0.00489
algiers,0,4,1,0.9776853390886552,38,518,0.99971,0.99971,0.0
algiers,0,5,1,0.34925742519613967,39,520,0.99993,0.99964,0.00029
algiers,0,6,1,0.2936428358612811,40,522,0.99998,0.99978,0.0002
algiers,0,7,1,0.12167174899857236,41,524,1.0,0.99977,0.00023
algiers,1,1,1,0.49953156154160283,42,513,0.5,0.49953,0.00047
algiers,1,2,1,0.9990631230832059,43,514,0.94377,0.94372,5e-05
algiers,1,3,1,0.504475739911656,44,516,0.94418,0.89143,0.05275
algiers,1,4,1,0.008810388478327989,45,518,0.99026,0.9902,6e-05
algiers,1,5,1,0.3393487701523248,46,520,0.99105,0.982,0.00905
algiers,1,6,1,0.8959558059095172,47,522,0.99763,0.9975,0.00013
algiers,1,7,1,0.27195841671497756,48,524,0.9984,0.99607,0.00233
almaden,0,1,1,0.49953156154160283,42,513,0.5,0.49955,0.00045
almaden,0,2,1,0.9990631230832059,43,514,0.98413,0.98412,1e-05
almaden,0,3,1,0.48480870843685653,49,516,0.98456,0.96935,0.01521
almaden,0,4,1,0.9713078618205828,50,518,0.99847,0.99844,3e-05
almaden,0,5,1,0.35418506885638396,51,520,0.99931,0.99778,0.00153
almaden,0,6,1,0.30636089591814636,52,522,0.99977,0.99907,0.0007
almaden,0,7,1,0.044739828107976935,53,524,0.99996,0.99904,0.00092
almaden,1,1,1,0.5024852922554957,54,513,0.5,0.49753,0.00247
almaden,1,2,1,0.9950294154890088,55,514,0.77063,0.76951,0.00112
almaden,1,3,1,0.5070891249515551,56,516,0.77198,0.59509,0.17689
almaden,1,4,1,0.986076880793928,57,518,0.866,0.86486,0.00114
almaden,1,5,1,0.014308152790783329,58,520,0.86821,0.77314,0.09507
almaden,1,6,1,0.9474144859619739,59,522,0.91619,0.915,0.00119
almaden,1,7,1,0.2906660513123406,60,524,0.91872,0.86141,0.05731
athens,0,1,1,0.500111524870046,35,513,0.5,0.49981,0.00019
athens,0,2,1,0.0003781429380310483,61,514,0.98953,0.98953,0.0
athens,0,3,1,0.509455474001033,62,516,0.98971,0.97953,0.01018
athens,0,4,1,0.9817646990619069,63,518,0.99933,0.99932,1e-05
athens,0,5,1,0.6538258077090042,64,520,0.99969,0.99902,0.00067
athens,0,6,1,0.7148007810446131,65,522,0.9999,0.99961,0.00029
athens,0,7,1,0.047426073817597385,66,524,0.99999,0.9996,0.00039
athens,1,1,1,0.500111524870046,35,513,0.5,0.49985,0.00015
athens,1,2,1,0.9997769502599078,36,514,0.97541,0.9754,1e-05
athens,1,3,1,0.5032591933628396,67,516,0.97555,0.9517,0.02385
athens,1,4,1,0.9935615450512696,68,518,0.99796,0.99795,1e-05
athens,1,5,1,0.3377058991869097,69,520,0.99824,0.99626,0.00198
athens,1,6,1,0.8433725356829025,70,522,0.9996,0.99955,5e-05
athens,1,7,1,0.2544102702630057,71,524,0.99986,0.99942,0.00044
auckland,0,1,1,0.500111524870046,35,513,0.5,0.49987,0.00013
auckland,0,2,1,0.9997769502599078,36,514,0.99425,0.99425,0.0
auckland,0,3,1,0.48832679465121726,37,516,0.99437,0.98878,0.00559
auckland,0,4,1,0.977795332637322,72,518,0.99966,0.99966,0.0
auckland,0,5,1,0.34925742519613967,39,520,0.99991,0.99957,0.00034
auckland,0,6,1,0.7066090798046407,73,522,0.99997,0.99974,0.00023
auckland,0,7,1,0.895084068490241,74,524,1.0,0.99974,0.00026
auckland,1,1,1,0.5002140916312182,75,513,0.5,0.49979,0.00021
auckland,1,2,1,0.0003781429380310483,61,514,0.98039,0.98038,1e-05
auckland,1,3,1,0.5056844442254338,76,516,0.98059,0.96156,0.01903
auckland,1,4,1,0.9888744500791222,77,518,0.99849,0.99848,1e-05
auckland,1,5,1,0.6590045207522712,78,520,0.99889,0.99742,0.00147
auckland,1,6,1,0.7289946238657622,79,522,0.99965,0.9995,0.00015
auckland,1,7,1,0.21445298878109703,80,524,0.99993,0.99944,0.00049
belem,0,1,1,0.500111524870046,35,513,0.5,0.49988,0.00012
belem,0,2,1,0.9997769502599078,36,514,0.95839,0.95838,1e-05
belem,0,3,1,0.4985444921354629,81,516,0.95849,0.9187,0.03979
belem,0,4,1,0.002895499653967258,82,518,0.99478,0.99477,1e-05
belem,0,5,1,0.33527921022633517,83,520,0.99498,0.99005,0.00493
belem,0,6,1,0.046881617303935565,84,522,0.99912,0.9991,2e-05
belem,0,7,1,0.7213749259881798,85,524,0.99933,0.99848,0.00085
belem,1,1,1,0.500111524870046,35,513,0.5,0.49983,0.00017
belem,1,2,1,0.0003781429380310483,61,514,0.97908,0.97908,0.0
belem,1,3,1,0.5041028388353097,86,516,0.97924,0.95891,0.02033
belem,1,4,1,0.008078490536182353,87,518,0.99842,0.99841,1e-05
belem,1,5,1,0.6611531516998769,88,520,0.99873,0.99719,0.00154
belem,1,6,1,0.21610994510165493,89,522,0.99966,0.99958,8e-05
belem,1,7,1,0.23795980928481644,90,524,0.99991,0.9995,0.00041
boeblingen,0,1,1,0.5002140916312182,75,513,0.5,0.49975,0.00025
boeblingen,0,2,1,0.9994997498749373,91,514,0.98631,0.98631,0.0
boeblingen,0,3,1,0.5096011696258449,92,516,0.98656,0.97329,0.01327
boeblingen,0,4,1,0.9814896779520167,93,518,0.999,0.99898,2e-05
boeblingen,0,5,1,0.34637418903323913,94,520,0.99947,0.99847,0.001
boeblingen,0,6,1,0.7143444070606638,95,522,0.99983,0.99948,0.00035
boeblingen,0,7,1,0.10524061391932006,96,524,0.99997,0.99946,0.00051
boeblingen,1,1,1,0.49918366938109116,97,513,0.5,0.49919,0.00082
boeblingen,1,2,1,0.0016326612378177124,98,514,0.8063,0.80598,0.00032
boeblingen,1,3,1,0.49737626829381204,99,516,0.8068,0.65067,0.15613
boeblingen,1,4,1,0.005209859583190599,100,518,0.90176,0.90144,0.00032
boeblingen,1,5,1,0.005266401035805107,101,520,0.9026,0.82895,0.07365
boeblingen,1,6,1,0.022221457953066664,102,522,0.94631,0.94599,0.00032
boeblingen,1,7,1,0.28694120256978334,103,524,0.94728,0.9084,0.03888
bogota,0,1,1,0.500111524870046,35,513,0.5,0.4999,0.0001
bogota,0,2,1,0.9997769502599078,36,514,0.97271,0.9727,1e-05
bogota,0,3,1,0.5019062764110532,104,516,0.9728,0.94634,0.02646
bogota,0,4,1,0.9962147824030788,105,518,0.99764,0.99764,0.0
bogota,0,5,1,0.6641157872424284,106,520,0.99783,0.99555,0.00228
bogota,0,6,1,0.9114567939654482,107,522,0.99963,0.99961,2e-05
bogota,0,7,1,0.7304253722067215,108,524,0.99981,0.99942,0.00039
bogota,1,1,1,0.49953156154160283,42,513,0.5,0.49949,0.00051
bogota,1,2,1,0.9990631230832059,43,514,0.94249,0.94244,5e-05
bogota,1,3,1,0.4952101415723835,109,516,0.94295,0.88909,0.05386
bogota,1,4,1,0.9905813037884772,110,518,0.9898,0.98974,6e-05
bogota,1,5,1,0.6602255976201846,111,520,0.99065,0.98119,0.00946
bogota,1,6,1,0.10869788288418245,112,522,0.99746,0.99732,0.00014
bogota,1,7,1,0.27153845565504825,113,524,0.99829,0.9958,0.00249
brisbane,0,1,1,0.4179827047740551,114,513,0.5,0.42954,0.07046
brisbane,0,2,1,0.8359654095481099,115,514,0.68708,0.65333,0.03375
brisbane,0,3,1,0.7251480690490962,116,516,0.72379,0.49686,0.22693
brisbane,0,4,1,0.6981613193756477,117,518,0.7807,0.73485,0.04585
brisbane,0,5,1,0.7073558669368031,118,520,0.82536,0.64935,0.17601
brisbane,0,6,1,0.6502386497076732,119,522,0.84248,0.7794,0.06308
brisbane,0,7,1,0.6976570198519388,120,524,0.87877,0.72749,0.15128
brisbane,1,1,1,0.500111524870046,35,513,0.5,0.49989,0.00011
brisbane,1,2,1,0.9997769502599078,36,514,0.99416,0.99416,0.0
brisbane,1,3,1,0.4897441743129609,121,516,0.99427,0.98858,0.00569
brisbane,1,4,1,0.980287795006237,122,518,0.99968,0.99968,0.0
brisbane,1,5,1,0.3472850571338599,123,520,0.9999,0.99958,0.00032
