hardware,embedding_index,horizon,method,time,result,threshold
algiers,0,2,bellman,0.010540,1,0.994090
algiers,0,3,bellman,0.003040,1,0.994090
algiers,0,4,bellman,0.003510,1,0.998820
algiers,0,5,bellman,0.004820,1,0.998930
algiers,0,6,bellman,0.011140,1,0.998990
algiers,0,7,bellman,0.016840,1,0.999000
algiers,0,8,bellman,0.041240,1,0.999000
algiers,0,9,bellman,0.069470,1,0.999000
algiers,1,2,bellman,0.001680,1,0.943180
algiers,1,3,bellman,0.002060,1,0.943180
algiers,1,4,bellman,0.004310,1,0.989670
algiers,1,5,bellman,0.006170,1,0.990050
algiers,1,6,bellman,0.014890,1,0.996970
algiers,1,7,bellman,0.021260,1,0.997400
algiers,1,8,bellman,0.057700,1,0.998510
algiers,1,9,bellman,0.087330,1,0.998690
almaden,0,2,bellman,0.001430,1,0.983560
almaden,0,3,bellman,0.001590,1,0.983560
almaden,0,4,bellman,0.003390,1,0.997880
almaden,0,5,bellman,0.004790,1,0.998310
almaden,0,6,bellman,0.011030,1,0.998830
almaden,0,7,bellman,0.016820,1,0.998960
almaden,0,8,bellman,0.041210,1,0.998990
almaden,0,9,bellman,0.070100,1,0.999000
almaden,1,2,bellman,0.001430,1,0.770980
almaden,1,3,bellman,0.001630,1,0.770980
almaden,1,4,bellman,0.003490,1,0.866330
almaden,1,5,bellman,0.004990,1,0.867210
almaden,1,6,bellman,0.012290,1,0.916470
almaden,1,7,bellman,0.017570,1,0.917720
almaden,1,8,bellman,0.047540,1,0.945770
almaden,1,9,bellman,0.067120,1,0.947220
athens,0,2,bellman,0.001260,1,0.988710
athens,0,3,bellman,0.001390,1,0.988710
athens,0,4,bellman,0.003110,1,0.998510
athens,0,5,bellman,0.004400,1,0.998690
athens,0,6,bellman,0.010260,1,0.998930
athens,0,7,bellman,0.015580,1,0.998990
athens,0,8,bellman,0.038610,1,0.999000
athens,0,9,bellman,0.065340,1,0.999000
athens,1,2,bellman,0.001260,1,0.974550
athens,1,3,bellman,0.001450,1,0.974550
athens,1,4,bellman,0.003270,1,0.997100
athens,1,5,bellman,0.004540,1,0.997240
athens,1,6,bellman,0.011160,1,0.998710
athens,1,7,bellman,0.016110,1,0.998860
athens,1,8,bellman,0.043240,1,0.998960
athens,1,9,bellman,0.067370,1,0.998990
auckland,0,2,bellman,0.001460,1,0.993370
auckland,0,3,bellman,0.001710,1,0.993370
auckland,0,4,bellman,0.003640,1,0.998780
auckland,0,5,bellman,0.005190,1,0.998910
auckland,0,6,bellman,0.011970,1,0.998980
auckland,0,7,bellman,0.018200,1,0.999000
auckland,0,8,bellman,0.044280,1,0.999000
auckland,0,9,bellman,0.074870,1,0.999000
auckland,1,2,bellman,0.001630,1,0.979590
auckland,1,3,bellman,0.002010,1,0.979590
auckland,1,4,bellman,0.004200,1,0.997690
auckland,1,5,bellman,0.006010,1,0.997890
auckland,1,6,bellman,0.013560,1,0.998740
auckland,1,7,bellman,0.020660,1,0.998930
auckland,1,8,bellman,0.049910,1,0.998970
auckland,1,9,bellman,0.084290,1,0.998990
belem,0,2,bellman,0.001320,1,0.957490
belem,0,3,bellman,0.001390,1,0.957490
belem,0,4,bellman,0.003100,1,0.993890
belem,0,5,bellman,0.004530,1,0.993980
belem,0,6,bellman,0.010810,1,0.998220
belem,0,7,bellman,0.015560,1,0.998330
belem,0,8,bellman,0.041730,1,0.998850
belem,0,9,bellman,0.065720,1,0.998900
belem,1,2,bellman,0.001310,1,0.978240
belem,1,3,bellman,0.001510,1,0.978240
belem,1,4,bellman,0.003270,1,0.997580
belem,1,5,bellman,0.004660,1,0.997730
belem,1,6,bellman,0.011480,1,0.998750
belem,1,7,bellman,0.016500,1,0.998910
belem,1,8,bellman,0.041880,1,0.998970
