hardware,embedding_index,horizon,method,time,result,threshold
vigo,0,5,bellman,0.021040,1,0.966250
vigo,0,6,bellman,0.030180,1,0.986800
vigo,0,7,bellman,0.051030,1,0.986800
vigo,1,3,bellman,0.012320,1,0.499000
vigo,1,4,bellman,0.015860,1,0.962840
vigo,1,5,bellman,0.016640,1,0.962840
vigo,1,6,bellman,0.029800,1,0.983240
vigo,1,7,bellman,0.030760,1,0.983240
vigo,2,3,bellman,0.025390,1,0.499000
vigo,2,4,bellman,0.016900,1,0.966780
vigo,2,5,bellman,0.021790,1,0.966780
vigo,2,6,bellman,0.031590,1,0.986460
vigo,2,7,bellman,0.052990,1,0.986460
belem,0,3,bellman,0.024090,1,0.499000
belem,0,4,bellman,0.016160,1,0.951620
belem,0,5,bellman,0.021060,1,0.951620
belem,0,6,bellman,0.030500,1,0.979660
belem,0,7,bellman,0.051120,1,0.979660
belem,1,3,bellman,0.023200,1,0.499000
belem,1,4,bellman,0.015780,1,0.948060
belem,1,5,bellman,0.020650,1,0.948060
belem,1,6,bellman,0.029910,1,0.975880
belem,1,7,bellman,0.050750,1,0.975880
belem,2,3,bellman,0.002960,1,0.499000
belem,2,4,bellman,0.016870,1,0.947160
belem,2,5,bellman,0.017680,1,0.947160
belem,2,6,bellman,0.031590,1,0.976600
belem,2,7,bellman,0.032770,1,0.976600
brooklyn,0,3,bellman,0.055910,1,0.499000
brooklyn,0,4,bellman,0.034960,1,0.976760
brooklyn,0,5,bellman,0.040820,1,0.976760
brooklyn,0,6,bellman,0.056050,1,0.988560
brooklyn,0,7,bellman,0.083370,1,0.988560
brooklyn,1,3,bellman,0.029330,1,0.499000
brooklyn,1,4,bellman,0.034550,1,0.975440
brooklyn,1,5,bellman,0.036050,1,0.975440
brooklyn,1,6,bellman,0.055440,1,0.987200
brooklyn,1,7,bellman,0.057090,1,0.987200
brooklyn,2,3,bellman,0.069620,1,0.499000
brooklyn,2,4,bellman,0.043080,1,0.863900
