benchmark,horizon,total_time,useful_gaps,times
iff_1_3_0_4,6,error,0.00638/0.018979/0.044894/0.36543/10.335019,908.686747/747.082145/393.328231/234.580844/35.527858
iff_1_3_2_0,2,141.91681,0.383022/10.335019,77.624215/11.977965
iff_1_3_2_0,3,514.208244,0.132984/0.317788/10.335019,413.774795/115.672065/17.909951
iff_1_3_2_0,4,error,0.004996/0.005611/0.023733/0.362956/10.335019,542.509162/413.818409/284.820704/152.84294/23.841004
iff_1_3_2_0,5,timeout,0.005733/0.010987/0.360666/10.335019,514.046505/352.233895/191.511139/30.038704
iff_1_3_2_0,6,timeout,0.005239/0.005559/0.005679/0.021117/0.360271/10.335019,1265.199023/1101.958233/486.164358/326.146578/166.268666/36.182132
iff_1_3_2_4,2,142.514123,0.383022/10.335019,77.501331/11.963282
iff_1_3_2_4,3,515.357185,0.132984/0.317788/10.335019,414.983334/115.328902/17.867992
iff_1_3_2_4,4,timeout,0.005135/0.00579/0.041855/0.362956/10.335019,943.774142/814.402909/281.808707/152.863577/23.984778
iff_1_3_2_4,5,timeout,0.033362/0.360447/10.335019,319.50252/159.380286/29.55917
iff_1_3_2_4,6,timeout,0.005099/0.005179/0.020398/0.044894/0.36543/10.335019,1212.249705/918.751541/754.95113/398.138069/237.619894/35.887154
iff_1_3_4_2,2,165.237963,0.383022/10.335019,90.340224/13.809389
iff_1_3_4_2,3,error,0.044519/0.317788/10.335019,488.611768/135.421368/20.737646
iff_1_3_4_2,4,timeout,0.362956/10.335019,178.707634/27.602859
iff_1_3_4_2,5,timeout,0.004695/0.005234/0.039595/0.360686/10.335019,1135.059032/942.89021/410.545458/223.484471/34.628805
iff_1_3_4_2,6,timeout,0.004599/0.005719/0.035855/0.360351/10.335019,1252.686854/645.729229/421.755427/193.534618/41.381999
iff_2_3_0_2,2,137.343105,1.939408/10.335019,74.737667/11.74911
iff_2_3_0_2,3,timeout,0.293408/1.884998/10.335019,208.601651/113.63439/17.764729
iff_2_3_0_2,4,timeout,0.245361/0.283536/1.801674/10.335019,405.335497/278.305535/151.392554/23.751316
