benchmark,horizon,time,val
RockSample_POMDP_N3_G1_K2_R18.txt,1,0.000000,-0.000000
RockSample_POMDP_N3_G1_K2_R18.txt,2,0.000000,0.000000
RockSample_POMDP_N3_G1_K2_R18.txt,3,0.000000,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,4,0.000000,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,5,1.000000,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,6,10.000000,13.333333
RockSample_POMDP_N3_G1_K2_R18.txt,7,90.000000,20.000000
RockSample_POMDP_N3_G1_K3_R13.txt,1,0.000000,-0.000000
RockSample_POMDP_N3_G1_K3_R13.txt,2,0.000000,-0.000000
RockSample_POMDP_N3_G1_K3_R13.txt,3,0.000000,10.000000
RockSample_POMDP_N3_G1_K3_R13.txt,4,0.000000,10.000000
RockSample_POMDP_N3_G1_K3_R13.txt,5,3.000000,10.000000
RockSample_POMDP_N3_G1_K3_R13.txt,6,43.000000,12.000000
