benchmark,horizon,time,val
RockSample_POMDP_N3_G3_K3_R6_.txt,1,0.052270,0.000000
RockSample_POMDP_N3_G3_K3_R6_.txt,2,0.197633,0.000000
RockSample_POMDP_N3_G3_K3_R6_.txt,3,1.085492,10.000000
RockSample_POMDP_N3_G3_K3_R6_.txt,4,1.617580,20.000000
RockSample_POMDP_N3_G3_K3_R6_.txt,5,7.685361,20.000000
RockSample_POMDP_N3_G3_K3_R6_.txt,6,9.831859,25.884113
RockSample_POMDP_N3_G3_K3_R6_.txt,7,35.547689,30.000000
RockSample_POMDP_N3_G3_K3_R6_.txt,8,39.203983,35.884113
