benchmark,horizon,time,n_initial_states,val
iff.POMDP_64_68_4,5,1490.786174,2,19.999009
iff.POMDP_64_68_4,6,timeout,2,-1.0
iff.POMDP_64_69_1,1,0.002742,2,9.8
iff.POMDP_64_69_1,2,0.093328,2,16.022
iff.POMDP_64_69_1,3,3.6975,2,18.936222
iff.POMDP_64_69_1,4,120.587143,2,19.827149
iff.POMDP_64_69_1,5,3225.006302,2,19.977092
iff.POMDP_64_69_1,6,timeout,2,-1.0
iff.POMDP_64_71_2,1,0.002833,2,9.8
iff.POMDP_64_71_2,2,0.097456,2,16.022
iff.POMDP_64_71_2,3,3.567404,2,18.936222
iff.POMDP_64_71_2,4,103.652512,2,19.827149
iff.POMDP_64_71_2,5,2573.852572,2,19.977092
iff.POMDP_64_71_2,6,timeout,2,-1.0
iff.POMDP_64_73_5,1,0.002717,2,9.8
iff.POMDP_64_73_5,2,0.070986,2,16.022
iff.POMDP_64_73_5,3,2.392229,2,18.936222
iff.POMDP_64_73_5,4,69.361565,2,19.827149
iff.POMDP_64_73_5,5,1760.895892,2,19.977092
iff.POMDP_64_73_5,6,timeout,2,-1.0
iff.POMDP_66_68_1,1,0.002728,2,12.8
iff.POMDP_66_68_1,2,0.067611,2,18.3872
iff.POMDP_66_68_1,3,2.011851,2,19.842291
iff.POMDP_66_68_1,4,48.955586,2,19.987065
iff.POMDP_66_68_1,5,1118.590651,2,19.999009
iff.POMDP_66_68_1,6,timeout,2,-1.0
iff.POMDP_66_71_1,1,0.003268,2,9.8
iff.POMDP_66_71_1,2,0.103645,2,16.022
iff.POMDP_66_71_1,3,3.577551,2,18.936222
iff.POMDP_66_71_1,4,93.882228,2,19.827149
iff.POMDP_66_71_1,5,2213.437259,2,19.977092
iff.POMDP_66_71_1,6,timeout,2,-1.0
iff.POMDP_66_73_2,1,0.002742,2,9.8
iff.POMDP_66_73_2,2,0.076211,2,16.022
iff.POMDP_66_73_2,3,2.341722,2,18.936222
iff.POMDP_66_73_2,4,58.505777,2,19.827149
iff.POMDP_66_73_2,5,1391.277708,2,19.977092
iff.POMDP_66_73_2,6,timeout,2,-1.0
iff.POMDP_68_73_1,1,0.002926,2,9.8
iff.POMDP_68_73_1,2,0.049906,2,16.022
iff.POMDP_68_73_1,3,1.396252,2,18.936222
iff.POMDP_68_73_1,4,35.833213,2,19.827149
iff.POMDP_68_73_1,5,910.921391,2,19.977092
iff.POMDP_68_73_1,6,timeout,2,-1.0
iff.POMDP_69_71_1,1,0.002812,2,9.8
iff.POMDP_69_71_1,2,0.099233,2,16.022
iff.POMDP_69_71_1,3,3.990435,2,18.936222
iff.POMDP_69_71_1,4,127.151292,2,19.827149
iff.POMDP_69_71_1,5,3326.66217,2,19.977092
iff.POMDP_69_71_1,6,timeout,2,-1.0
iff.POMDP_69_73_4,1,0.002658,2,9.8
iff.POMDP_69_73_4,2,0.072081,2,16.022
iff.POMDP_69_73_4,3,2.775347,2,18.936222
iff.POMDP_69_73_4,4,91.467243,2,19.827149
iff.POMDP_69_73_4,5,2515.794554,2,19.977092
iff.POMDP_69_73_4,6,timeout,2,-1.0
iff.POMDP_71_73_1,1,0.00275,2,9.8
iff.POMDP_71_73_1,2,0.075126,2,16.022
iff.POMDP_71_73_1,3,2.688329,2,18.936222
iff.POMDP_71_73_1,4,74.532002,2,19.827149
iff.POMDP_71_73_1,5,1860.320177,2,19.977092
iff.POMDP_71_73_1,6,timeout,2,-1.0
