benchmark,horizon,time,50,500,1000,2000
iff.POMDP_61_73_5,5,944.415106,944.742173,923.422963,936.795371,934.087059
iff.POMDP_61_73_5,6,timeout,timeout,timeout,timeout,timeout
iff.POMDP_63_68_1,1,0.002395,0.003362,0.002155,0.001782,0.001536
iff.POMDP_63_68_1,2,0.036819,0.042051,0.041861,0.042113,0.042251
iff.POMDP_63_68_1,3,0.893786,1.011277,1.012403,1.011804,1.008295
iff.POMDP_63_68_1,4,21.05167,22.624369,22.581904,22.537068,22.505756
iff.POMDP_63_68_1,5,488.359255,493.049143,493.410346,480.024496,484.259782
iff.POMDP_63_68_1,6,timeout,timeout,timeout,timeout,timeout
iff.POMDP_63_73_4,1,0.002497,0.002446,0.001542,0.001337,0.001447
iff.POMDP_63_73_4,2,0.042529,0.039502,0.040267,0.039443,0.039486
iff.POMDP_63_73_4,3,1.149272,1.072473,1.064954,1.070284,1.065276
iff.POMDP_63_73_4,4,29.9971,26.632248,26.585594,26.615189,26.540578
iff.POMDP_63_73_4,5,761.510802,642.650561,642.91024,731.356283,790.80304
iff.POMDP_63_73_4,6,timeout,timeout,timeout,timeout,timeout
iff.POMDP_64_66_1,1,0.002817,0.002819,0.001596,0.001659,0.001599
iff.POMDP_64_66_1,2,0.089233,0.082278,0.082635,0.082297,0.082
iff.POMDP_64_66_1,3,2.969924,2.719796,2.723311,2.709721,2.711709
iff.POMDP_64_66_1,4,82.5948,70.542469,70.475625,70.406821,70.437811
iff.POMDP_64_66_1,5,1964.400963,1742.316748,2053.782218,2059.972001,2062.121347
iff.POMDP_64_66_1,6,timeout,timeout,timeout,timeout,timeout
iff.POMDP_64_68_4,1,0.002602,0.002476,0.001411,0.001477,0.001395
iff.POMDP_64_68_4,2,0.065868,0.059166,0.058867,0.058916,0.058816
iff.POMDP_64_68_4,3,2.086873,1.893884,1.881467,1.882611,1.886364
iff.POMDP_64_68_4,4,59.737974,51.349286,51.305669,51.27191,51.263284
iff.POMDP_64_68_4,5,1490.786174,1256.15394,1504.88492,1546.886958,1551.423855
iff.POMDP_64_68_4,6,timeout,timeout,timeout,timeout,timeout
iff.POMDP_64_69_1,1,0.002742,0.003063,0.001672,0.001655,0.001633
iff.POMDP_64_69_1,2,0.093328,0.085449,0.085008,0.084921,0.085163
iff.POMDP_64_69_1,3,3.6975,3.29805,3.275916,3.285458,3.279341
