benchmark,horizon,time,hull_size,val
RockSample_POMDP_N3_G1_K2_R18.txt,1,0.000000,10,0.000000
RockSample_POMDP_N3_G1_K2_R18.txt,1,0.000000,50,0.000000
RockSample_POMDP_N3_G1_K2_R18.txt,1,0.000000,100,0.000000
RockSample_POMDP_N3_G1_K2_R18.txt,1,0.000000,500,0.000000
RockSample_POMDP_N3_G1_K2_R18.txt,1,0.000000,1000,0.000000
RockSample_POMDP_N3_G1_K2_R18.txt,2,0.000000,10,0.000000
RockSample_POMDP_N3_G1_K2_R18.txt,2,0.000000,50,0.000000
RockSample_POMDP_N3_G1_K2_R18.txt,2,0.000000,100,0.000000
RockSample_POMDP_N3_G1_K2_R18.txt,2,0.000000,500,0.000000
RockSample_POMDP_N3_G1_K2_R18.txt,2,0.000000,1000,0.000000
RockSample_POMDP_N3_G1_K2_R18.txt,3,0.000000,10,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,3,0.000000,50,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,3,0.000000,100,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,3,0.000000,500,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,3,0.000000,1000,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,4,0.000000,10,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,4,0.000000,50,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,4,0.000000,100,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,4,0.000000,500,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,4,0.000000,1000,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,5,1.000000,10,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,5,1.000000,50,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,5,1.000000,100,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,5,1.000000,500,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,5,1.000000,1000,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,6,10.000000,10,13.333333
RockSample_POMDP_N3_G1_K2_R18.txt,6,11.000000,50,13.333333
RockSample_POMDP_N3_G1_K2_R18.txt,6,10.000000,100,13.333333
RockSample_POMDP_N3_G1_K2_R18.txt,6,10.000000,500,13.333333
RockSample_POMDP_N3_G1_K2_R18.txt,6,10.000000,1000,13.333333
RockSample_POMDP_N3_G1_K2_R18.txt,7,107.000000,10,20.000000
RockSample_POMDP_N3_G1_K2_R18.txt,7,121.000000,50,20.000000
RockSample_POMDP_N3_G1_K2_R18.txt,7,102.000000,100,20.000000
RockSample_POMDP_N3_G1_K2_R18.txt,7,94.000000,500,20.000000
