benchmark,num_states,num_actions,num_obs,num_initial_states,horizon,time_abhsvi,time_ours
iff_1_2_4_2,17,4,22,3,2,error,0.065746
iff_1_2_4_2,17,4,22,3,3,timeout,0.389996
iff_1_2_4_2,17,4,22,3,4,timeout,4.096476
iff_1_2_4_2,17,4,22,3,5,timeout,36.518012
iff_1_2_4_2,17,4,22,3,6,timeout,239.505537
iff_1_3_0_2,24,4,22,3,1,timeout,0.137555
iff_1_3_0_2,24,4,22,3,2,141.641348,0.07371
iff_1_3_0_2,24,4,22,3,3,213.48041,0.606612
iff_1_3_0_2,24,4,22,3,4,error,208.027268
iff_1_3_0_2,24,4,22,3,5,error,timeout
iff_1_3_0_2,24,4,22,3,6,error,timeout
iff_1_3_0_4,20,4,22,3,1,timeout,0.003086
iff_1_3_0_4,20,4,22,3,2,141.917578,0.028157
iff_1_3_0_4,20,4,22,3,3,408.103823,0.432593
iff_1_3_0_4,20,4,22,3,4,timeout,130.835035
iff_1_3_0_4,20,4,22,3,5,timeout,timeout
iff_1_3_0_4,20,4,22,3,6,error,timeout
iff_1_3_2_0,26,4,22,3,1,timeout,0.002936
iff_1_3_2_0,26,4,22,3,2,141.91681,0.036827
iff_1_3_2_0,26,4,22,3,3,514.208244,0.613721
iff_1_3_2_0,26,4,22,3,4,error,133.959688
iff_1_3_2_0,26,4,22,3,5,timeout,timeout
iff_1_3_2_0,26,4,22,3,6,timeout,timeout
iff_1_3_2_4,17,4,22,3,1,timeout,0.003083
iff_1_3_2_4,17,4,22,3,2,142.514123,0.02751
iff_1_3_2_4,17,4,22,3,3,515.357185,0.429682
iff_1_3_2_4,17,4,22,3,4,timeout,131.846304
iff_1_3_2_4,17,4,22,3,5,timeout,timeout
iff_1_3_2_4,17,4,22,3,6,timeout,timeout
iff_1_3_4_0,26,4,22,3,1,7.665859,0.003359
iff_1_3_4_0,26,4,22,3,2,error,0.029671
iff_1_3_4_0,26,4,22,3,3,error,0.555637
iff_1_3_4_0,26,4,22,3,4,error,185.32807
iff_1_3_4_0,26,4,22,3,5,error,timeout
iff_1_3_4_0,26,4,22,3,6,error,timeout
iff_1_3_4_2,21,4,22,3,1,timeout,0.004064
iff_1_3_4_2,21,4,22,3,2,165.237963,0.030644
iff_1_3_4_2,21,4,22,3,3,error,0.522735
iff_1_3_4_2,21,4,22,3,4,timeout,114.890327
iff_1_3_4_2,21,4,22,3,5,timeout,timeout
iff_1_3_4_2,21,4,22,3,6,timeout,timeout
iff_2_3_0_2,26,4,22,3,1,timeout,0.003104
iff_2_3_0_2,26,4,22,3,2,137.343105,0.037965
iff_2_3_0_2,26,4,22,3,3,timeout,0.679326
iff_2_3_0_2,26,4,22,3,4,timeout,75.48472
iff_2_3_0_2,26,4,22,3,5,timeout,timeout
iff_2_3_0_2,26,4,22,3,6,timeout,timeout
iff_2_3_0_4,24,4,22,3,1,timeout,0.002859
