benchmark,horizon,time,hull_size,val
RockSample_POMDP_N3_G1_K3_R4_.txt,1,0.010067,1,0.000000
RockSample_POMDP_N3_G1_K3_R4_.txt,2,0.004771,2,0.000000
RockSample_POMDP_N3_G1_K3_R4_.txt,3,0.051784,1,10.000000
RockSample_POMDP_N3_G1_K3_R4_.txt,4,0.587764,3,10.000000
RockSample_POMDP_N3_G1_K3_R4_.txt,5,6.155821,4,12.000000
RockSample_POMDP_N3_G1_K3_R4_.txt,6,66.510531,6,15.000000
RockSample_POMDP_N3_G1_K3_R4_.txt,7,716.007108,12,17.500000
RockSample_POMDP_N3_G2_K3_R5_.txt,1,0.000483,1,0.000000
RockSample_POMDP_N3_G2_K3_R5_.txt,2,0.004735,2,0.000000
RockSample_POMDP_N3_G2_K3_R5_.txt,3,0.051591,1,10.000000
RockSample_POMDP_N3_G2_K3_R5_.txt,4,0.567136,2,10.000000
RockSample_POMDP_N3_G2_K3_R5_.txt,5,6.150461,1,10.000000
RockSample_POMDP_N3_G2_K3_R5_.txt,6,66.863796,3,15.000000
RockSample_POMDP_N3_G2_K3_R5_.txt,7,736.127021,4,20.000000
RockSample_POMDP_N3_G3_K3_R6_.txt,1,0.000353,1,0.000000
RockSample_POMDP_N3_G3_K3_R6_.txt,2,0.002736,1,0.000000
RockSample_POMDP_N3_G3_K3_R6_.txt,3,0.029594,1,10.000000
RockSample_POMDP_N3_G3_K3_R6_.txt,4,0.323323,1,20.000000
RockSample_POMDP_N3_G3_K3_R6_.txt,5,3.525354,1,20.000000
RockSample_POMDP_N3_G3_K3_R6_.txt,6,38.456718,1,20.000000
RockSample_POMDP_N3_G3_K3_R6_.txt,7,421.824490,1,30.000000
RockSample_POMDP_N3_G2_K5_R7_.txt,1,0.001451,1,0.000000
RockSample_POMDP_N3_G2_K5_R7_.txt,2,0.020588,3,0.000000
RockSample_POMDP_N3_G2_K5_R7_.txt,3,0.306455,1,10.000000
RockSample_POMDP_N3_G2_K5_R7_.txt,4,4.566890,4,10.000000
RockSample_POMDP_N3_G2_K5_R7_.txt,5,67.102649,31,10.769231
RockSample_POMDP_N3_G2_K5_R7_.txt,6,997.744842,497,13.800000
RockSample_POMDP_N3_G2_K5_R7_.txt,7,3600.003781,820,-1.000000
RockSample_POMDP_N3_G3_K5_R8_.txt,1,0.006625,1,0.000000
RockSample_POMDP_N3_G3_K5_R8_.txt,2,0.020058,3,0.000000
RockSample_POMDP_N3_G3_K5_R8_.txt,3,0.298309,1,10.000000
RockSample_POMDP_N3_G3_K5_R8_.txt,4,4.436481,4,10.000000
RockSample_POMDP_N3_G3_K5_R8_.txt,5,65.577650,24,13.846154
RockSample_POMDP_N3_G3_K5_R8_.txt,6,1040.735837,389,16.923077
RockSample_POMDP_N3_G3_K5_R8_.txt,7,3600.003395,437,-1.000000
RockSample_POMDP_N3_G4_K5_R9_.txt,1,0.070484,1,0.000000
RockSample_POMDP_N3_G4_K5_R9_.txt,2,0.030165,2,0.000000
RockSample_POMDP_N3_G4_K5_R9_.txt,3,0.215503,1,10.000000
RockSample_POMDP_N3_G4_K5_R9_.txt,4,3.038272,2,10.000000
RockSample_POMDP_N3_G4_K5_R9_.txt,5,44.975268,3,15.000000
RockSample_POMDP_N3_G4_K5_R9_.txt,6,669.164946,4,20.000000
RockSample_POMDP_N3_G4_K5_R9_.txt,7,3600.002320,36,-1.000000
RockSample_POMDP_N3_G2_K7_R9_.txt,1,0.044661,1,0.000000
RockSample_POMDP_N3_G2_K7_R9_.txt,2,0.067338,2,0.000000
RockSample_POMDP_N3_G2_K7_R9_.txt,3,1.277328,1,10.000000
RockSample_POMDP_N3_G2_K7_R9_.txt,4,24.303751,3,10.000000
RockSample_POMDP_N3_G2_K7_R9_.txt,5,459.885367,7,10.000000
RockSample_POMDP_N3_G2_K7_R9_.txt,6,3600.010960,93,-1.000000
RockSample_POMDP_N3_G2_K7_R9_.txt,7,3600.011145,1,-1.000000
RockSample_POMDP_N3_G4_K7_R11_.txt,1,0.005945,1,0.000000
RockSample_POMDP_N3_G4_K7_R11_.txt,2,0.113243,2,0.000000
RockSample_POMDP_N3_G4_K7_R11_.txt,3,2.156910,1,10.000000
RockSample_POMDP_N3_G4_K7_R11_.txt,4,40.904599,3,10.000000
RockSample_POMDP_N3_G4_K7_R11_.txt,5,783.780256,7,11.428571
RockSample_POMDP_N3_G4_K7_R11_.txt,6,3600.018507,113,-1.000000
RockSample_POMDP_N3_G4_K7_R11_.txt,7,3600.017455,1,-1.000000
RockSample_POMDP_N3_G6_K7_R13_.txt,1,0.001572,1,0.000000
RockSample_POMDP_N3_G6_K7_R13_.txt,2,0.027577,3,0.000000
RockSample_POMDP_N3_G6_K7_R13_.txt,3,0.519385,1,10.000000
RockSample_POMDP_N3_G6_K7_R13_.txt,4,9.806489,4,13.333333
RockSample_POMDP_N3_G6_K7_R13_.txt,5,184.607136,2,20.000000
RockSample_POMDP_N3_G6_K7_R13_.txt,6,3476.534874,29,22.941176
RockSample_POMDP_N3_G6_K7_R13_.txt,7,3600.005328,50,-1.000000
